data_ok,datetime,person,plant,current_treatment,psi_mPa,side_of_greenhouse,diameter_at_base_mm,percent_dead,notes
yes,11/22/2019 11:45:00,clay,w14,dry,1.53,south,,,
yes,11/22/2019 11:45:00,clay,d2,wet,1.13,south,,,
yes,11/22/2019 11:45:00,clay,d4,wet,NA,south,,,Stem broke; couldn’t get reading
yes,11/22/2019 11:45:00,clay,m13,moderate,1.42,south,,,
yes,11/22/2019 11:45:00,clay,w7,dry,1.48,south,,,
yes,11/22/2019 11:45:00,clay,w13,dry,1.46,south,,,
yes,11/22/2019 11:45:00,clay,m14,moderate,1.56,south,,,
yes,11/26/2019 17:05:00,clay,m16,moderate,1.27,north,,,
yes,11/26/2019 17:05:00,clay,d16,wet,0.77,north,,,
yes,11/26/2019 17:05:00,clay,w4,dry,1.6,north,,,
yes,11/26/2019 17:05:00,clay,m4,moderate,1.27,north,,,
yes,11/26/2019 17:05:00,clay,d4,wet,0.75,north,,,
yes,11/26/2019 17:05:00,clay,d12,wet,0.69,north,,,
yes,11/26/2019 17:05:00,clay,w16,dry,1.54,north,,,
yes,11/26/2019 17:05:00,clay,w12,dry,1.66,north,,,
yes,11/26/2019 17:05:00,clay,m12,moderate,1.5,north,,,
yes,12/02/2019 15:00:00,clay,w31,dry_virgin,1.78,south,,,
yes,12/02/2019 15:00:00,clay,m2,wet,1.22,south,,,
yes,12/02/2019 15:00:00,clay,w29,dry_virgin,1.68,south,,,
yes,12/02/2019 15:00:00,clay,d5,dry,1.82,south,,,
yes,12/02/2019 15:00:00,clay,m5,wet,1.13,south,,,
yes,12/02/2019 15:00:00,clay,d2,dry,1.78,south,,,
yes,12/02/2019 15:00:00,clay,m14,wet,1.09,south,,,
yes,12/02/2019 15:00:00,clay,d14,dry,1.79,south,,,
yes,12/02/2019 15:00:00,clay,w32,dry_virgin,1.69,north,,,"Only 3 good virgin buffer plants, so had to sample from north side for one of them (but is in middle row)"
no,12/03/2019 08:35:00,clay,w3,dry,1.57,north,,,"This leaf was accidentally collected from an old W block plant. None of these are on scales, so this measurement is probably useless."
yes,12/03/2019 08:35:00,clay,m8,wet,0.71,north,,,
yes,12/03/2019 08:35:00,clay,d3,dry,1.76,north,,,
yes,12/03/2019 08:35:00,clay,w31,dry_virgin,1.69,south,,,
yes,12/03/2019 08:35:00,clay,m4,wet,0.83,north,,,
yes,12/03/2019 08:35:00,clay,w32,dry_virgin,1.59,north,,,
yes,12/03/2019 08:35:00,clay,w29,dry_virgin,1.51,south,,,
yes,12/03/2019 08:35:00,clay,m3,wet,0.79,north,,,
yes,12/03/2019 08:35:00,clay,d8,dry,1.62,north,,,
yes,12/03/2019 08:35:00,clay,d15,dry,1.66,north,,,
yes,12/05/2019 06:52:00,clay,d5,dry,1.14,south,,<5,"Today, started collecting leaves from bottom of plant towards top (had been collecting from top to bottom before today). Started with about 6-7th leaf from top of plant."
yes,12/05/2019 06:52:00,clay,m14,wet,0.38,south,,<5,
yes,12/05/2019 06:52:00,clay,w29,dry_virgin,0.86,south,,15,
yes,12/05/2019 06:52:00,clay,m1,wet,0.4,south,,<5,
yes,12/05/2019 06:52:00,clay,d14,dry,0.94,south,,5,
yes,12/05/2019 06:52:00,clay,w31,dry_virgin,0.92,south,,<5,
yes,12/05/2019 06:52:00,clay,w32,dry_virgin,0.91,north,,<5,
yes,12/05/2019 06:52:00,clay,m5,wet,0.34,south,,<5,
yes,12/05/2019 06:52:00,clay,d2,dry,1.2,south,,<5,
yes,12/06/2019 14:15:00,clay,m12,wet,1.31,north,,<5,Only collected from M and D blocks today since running low on leaves in W block.
yes,12/06/2019 14:15:00,clay,d12,dry,1.96,north,,<5,
yes,12/06/2019 14:15:00,clay,m3,wet,1.1,north,,5,
yes,12/06/2019 14:15:00,clay,d4,dry,1.44,north,,5,
yes,12/06/2019 14:15:00,clay,m4,wet,0.8,north,,<5,
yes,12/06/2019 14:15:00,clay,d3,dry,1.87,north,,5,
yes,12/09/2019 12:10:00,clay,w29,dry_virgin,1.61,south,,<5,
yes,12/09/2019 12:10:00,clay,d5,dry,1.88,north,,<5,
yes,12/09/2019 12:10:00,clay,m14,wet,0.66,north,,<5,
yes,12/09/2019 12:10:00,clay,w31,dry_virgin,1.69,south,,<5,
yes,12/09/2019 12:10:00,clay,m2,wet,0.72,north,,<5,
yes,12/09/2019 12:10:00,clay,d9,dry,1.93,north,,5,
yes,12/09/2019 12:10:00,clay,d2,dry,1.76,north,,<5,
yes,12/09/2019 12:10:00,clay,w32,dry_virgin,1.61,north,,<5,
yes,12/09/2019 12:10:00,clay,m13,wet,0.73,north,,<5,
yes,12/10/2019 16:33:00,clay,m8,wet,0.74,north,,<5,
yes,12/10/2019 16:33:00,clay,w31,dry_virgin,1.75,south,,<5,
yes,12/10/2019 16:33:00,clay,d15,dry,1.96,north,,5,
yes,12/10/2019 16:33:00,clay,w29,dry_virgin,1.67,south,,<5,
yes,12/10/2019 16:33:00,clay,m3,wet,0.79,north,,<5,
yes,12/10/2019 16:33:00,clay,d3,dry,1.98,north,,5,
yes,12/10/2019 16:33:00,clay,w32,dry_virgin,1.68,north,,<5,
yes,12/10/2019 16:33:00,clay,d8,dry,1.97,north,,5,
yes,12/10/2019 16:33:00,clay,m16,wet,0.78,north,,<5,
yes,12/10/2019 18:00:00,clay,w29,dry_virgin,1.45,south,,5,LEDs turned off today at 16:50 and remained off when cutting leaves for pressure bomb. Sky completely dark; only light is some ambient light coming from adjacent CSU greenhouses. NOTE: I forgot my headlamp so had to use ceiling lights when processing leaves before measurements in pressure bomb. I did NOT need a headlamp to harvest leaves since there was sufficient ambient light in greenhouse.
yes,12/10/2019 18:00:00,clay,m1,wet,0.45,south,,<5,LEDs turned off today at 16:50 and remained off when cutting leaves for pressure bomb. Sky completely dark; only light is some ambient light coming from adjacent CSU greenhouses. NOTE: I forgot my headlamp so had to use ceiling lights when processing leaves before measurements in pressure bomb. I did NOT need a headlamp to harvest leaves since there was sufficient ambient light in greenhouse.
yes,12/10/2019 18:00:00,clay,w32,dry_virgin,1.54,north,,,LEDs turned off today at 16:50 and remained off when cutting leaves for pressure bomb. Sky completely dark; only light is some ambient light coming from adjacent CSU greenhouses. NOTE: I forgot my headlamp so had to use ceiling lights when processing leaves before measurements in pressure bomb. I did NOT need a headlamp to harvest leaves since there was sufficient ambient light in greenhouse.
yes,12/10/2019 18:00:00,clay,m14,wet,0.4,south,,<5,LEDs turned off today at 16:50 and remained off when cutting leaves for pressure bomb. Sky completely dark; only light is some ambient light coming from adjacent CSU greenhouses. NOTE: I forgot my headlamp so had to use ceiling lights when processing leaves before measurements in pressure bomb. I did NOT need a headlamp to harvest leaves since there was sufficient ambient light in greenhouse.
yes,12/10/2019 18:00:00,clay,w31,dry_virgin,1.53,south,,<5,LEDs turned off today at 16:50 and remained off when cutting leaves for pressure bomb. Sky completely dark; only light is some ambient light coming from adjacent CSU greenhouses. NOTE: I forgot my headlamp so had to use ceiling lights when processing leaves before measurements in pressure bomb. I did NOT need a headlamp to harvest leaves since there was sufficient ambient light in greenhouse.
yes,12/10/2019 18:00:00,clay,d5,dry,1.78,south,,<5,LEDs turned off today at 16:50 and remained off when cutting leaves for pressure bomb. Sky completely dark; only light is some ambient light coming from adjacent CSU greenhouses. NOTE: I forgot my headlamp so had to use ceiling lights when processing leaves before measurements in pressure bomb. I did NOT need a headlamp to harvest leaves since there was sufficient ambient light in greenhouse.
yes,12/10/2019 18:00:00,clay,d1,dry,1.76,south,,5,LEDs turned off today at 16:50 and remained off when cutting leaves for pressure bomb. Sky completely dark; only light is some ambient light coming from adjacent CSU greenhouses. NOTE: I forgot my headlamp so had to use ceiling lights when processing leaves before measurements in pressure bomb. I did NOT need a headlamp to harvest leaves since there was sufficient ambient light in greenhouse.
yes,12/10/2019 18:00:00,clay,m9,wet,0.43,south,,<5,LEDs turned off today at 16:50 and remained off when cutting leaves for pressure bomb. Sky completely dark; only light is some ambient light coming from adjacent CSU greenhouses. NOTE: I forgot my headlamp so had to use ceiling lights when processing leaves before measurements in pressure bomb. I did NOT need a headlamp to harvest leaves since there was sufficient ambient light in greenhouse.
