treatment: wet
timestamp, Vin, d6_bottom, d6_top, d7_bottom, d7_top, d10_bottom, d10_top, d11_bottom, d11_top
2019/11/6 14:44:38,4.931,22.105,21.550,22.293,21.781,22.195,21.125,22.443,21.899
2019/11/6 14:45:9,4.930,22.112,21.651,22.394,21.822,22.227,21.257,22.429,21.976
2019/11/6 14:45:39,4.929,22.104,21.612,22.212,21.887,22.253,21.246,22.515,21.964
2019/11/6 14:46:9,4.929,22.045,21.655,22.185,21.906,22.240,21.355,22.495,21.989
2019/11/6 14:46:39,4.929,22.061,21.667,22.322,22.001,22.287,21.349,22.493,22.103
2019/11/6 14:47:10,4.929,22.137,21.789,22.395,22.085,22.385,21.402,22.629,22.197
2019/11/6 14:47:40,4.928,22.105,21.840,22.430,22.092,22.353,21.464,22.485,22.193
2019/11/6 14:48:10,4.928,22.018,21.729,22.241,22.004,22.259,21.349,22.548,22.018
2019/11/6 14:48:40,4.928,21.969,21.711,22.294,21.997,22.214,21.363,22.398,22.043
2019/11/6 14:49:11,4.928,21.949,21.760,22.311,22.001,22.217,21.488,22.363,22.067
2019/11/6 14:49:41,4.928,21.978,21.793,22.271,21.992,22.243,21.479,22.557,22.065
2019/11/6 14:50:11,4.930,21.995,21.764,22.315,22.036,22.280,21.433,22.587,22.134
2019/11/6 14:50:41,4.928,21.892,21.721,22.297,21.986,22.182,21.411,22.342,22.035
2019/11/6 14:51:12,4.928,21.897,21.702,22.298,21.974,22.145,21.395,22.249,21.991
2019/11/6 14:51:42,4.928,21.902,21.717,22.195,21.982,22.171,21.445,22.422,22.021
2019/11/6 14:52:12,4.928,22.000,21.836,22.394,22.090,22.268,21.518,22.362,22.164
2019/11/6 14:52:42,4.928,22.028,21.895,22.464,22.097,22.254,21.606,22.324,22.139
2019/11/6 14:53:13,4.928,21.829,21.696,22.153,21.881,21.979,21.431,21.846,21.857
2019/11/6 14:53:43,4.928,21.594,21.507,21.820,21.625,21.677,21.203,21.482,21.569
2019/11/6 14:54:13,4.928,21.636,21.430,21.894,21.695,21.834,21.074,22.072,21.677
2019/11/6 14:54:43,4.928,21.599,21.442,21.972,21.693,21.808,21.117,21.888,21.717
2019/11/6 14:55:13,4.928,21.480,21.389,21.825,21.571,21.634,21.033,21.567,21.515
2019/11/6 14:55:44,4.928,21.501,21.396,21.717,21.567,21.675,21.044,21.822,21.491
2019/11/6 14:56:14,4.928,21.536,21.407,21.930,21.609,21.689,20.936,21.812,21.560
2019/11/6 14:56:44,4.928,21.557,21.473,21.815,21.641,21.773,21.012,21.951,21.627
2019/11/6 14:57:15,4.928,21.637,21.442,21.916,21.745,21.895,20.925,22.150,21.756
2019/11/6 14:57:45,4.927,21.736,21.628,22.130,21.851,22.005,21.213,22.200,21.879
2019/11/6 14:58:15,4.927,21.806,21.593,22.224,21.935,22.075,21.059,22.308,21.932
2019/11/6 14:58:45,4.927,21.870,21.710,22.202,21.961,22.153,21.309,22.397,22.020
2019/11/6 14:59:16,4.927,21.925,21.698,22.179,21.991,22.183,21.185,22.423,21.984
2019/11/6 14:59:46,4.927,21.918,21.775,22.305,21.991,22.137,21.272,22.280,22.008
2019/11/6 15:0:16,4.927,22.001,21.802,22.270,22.064,22.280,21.356,22.531,22.089
2019/11/6 15:0:46,4.927,22.061,21.785,22.315,22.137,22.374,21.258,22.639,22.144
2019/11/6 15:1:16,4.927,22.047,21.844,22.381,22.137,22.284,21.216,22.472,22.130
2019/11/6 15:1:47,4.927,22.029,21.914,22.319,22.102,22.249,21.495,22.319,22.089
2019/11/6 15:2:17,4.927,21.768,21.520,21.966,21.848,21.935,21.049,21.949,21.813
2019/11/6 15:2:47,4.929,21.671,21.448,21.978,21.741,21.828,21.061,21.915,21.730
2019/11/6 15:3:17,4.927,21.816,21.569,22.165,21.851,22.008,21.098,22.211,21.883
2019/11/6 15:3:48,4.927,21.827,21.583,22.172,21.876,22.057,20.972,22.326,21.865
2019/11/6 15:4:18,4.927,21.858,21.590,22.207,21.883,21.991,21.080,22.256,21.865
