treatment: dry
timestamp, Vin, d6_bottom, d6_top, d7_bottom, d7_top, d10_bottom, d10_top, d11_bottom, d11_top
2019/10/28 11:35:20,4.930,31.174,31.988,31.426,30.039,30.541,31.358,28.608,29.041
2019/10/28 11:35:50,4.928,31.230,32.092,31.458,30.002,30.367,31.368,28.030,28.592
2019/10/28 11:36:21,4.927,31.334,32.255,31.833,30.111,30.718,31.551,28.067,28.350
2019/10/28 11:36:51,4.926,31.426,32.432,32.326,30.289,30.777,31.763,27.711,28.380
2019/10/28 11:37:21,4.926,31.887,32.648,32.312,30.404,31.116,31.734,28.394,28.504
2019/10/28 11:37:51,4.925,31.930,32.904,32.747,30.670,31.307,31.999,28.344,28.720
2019/10/28 11:38:22,4.925,31.891,33.110,33.246,30.868,31.394,32.320,28.086,28.990
2019/10/28 11:38:52,4.925,32.038,33.211,33.749,31.043,31.563,32.355,28.321,29.159
2019/10/28 11:39:22,4.925,32.158,33.318,34.112,31.158,31.741,32.530,28.413,29.330
2019/10/28 11:39:52,4.925,32.329,33.458,34.038,31.317,32.067,32.691,28.931,29.529
2019/10/28 11:40:23,4.924,32.401,33.640,34.051,31.402,32.051,32.828,28.926,29.706
2019/10/28 11:40:53,4.924,32.344,33.583,34.042,31.317,32.159,32.819,29.120,29.948
2019/10/28 11:41:23,4.924,32.352,33.561,33.953,31.324,32.202,32.944,29.944,30.023
2019/10/28 11:41:53,4.924,32.343,33.401,33.822,31.193,32.033,33.052,29.721,30.017
2019/10/28 11:42:24,4.924,31.556,32.665,33.263,30.295,30.989,31.799,28.254,29.002
2019/10/28 11:42:54,4.924,30.356,31.509,32.104,29.637,30.460,31.230,27.008,28.137
2019/10/28 11:43:24,4.924,29.180,30.672,31.455,28.981,29.601,30.083,26.126,27.138
2019/10/28 11:43:54,4.926,28.999,29.604,30.155,27.978,28.871,29.202,25.769,26.295
2019/10/28 11:44:25,4.924,29.287,30.166,30.953,28.505,29.333,29.765,25.940,26.624
2019/10/28 11:44:55,4.924,29.439,30.261,30.692,28.461,29.129,29.842,26.271,26.826
2019/10/28 11:45:25,4.924,29.537,30.220,30.026,28.502,29.138,29.762,26.540,27.029
2019/10/28 11:45:55,4.924,30.064,30.778,31.128,29.164,29.560,30.343,27.150,27.640
2019/10/28 11:46:26,4.924,30.236,31.171,32.182,29.671,29.982,30.890,27.651,28.302
2019/10/28 11:46:56,4.924,30.827,31.668,32.962,29.983,30.392,31.213,28.208,28.654
2019/10/28 11:47:26,4.924,30.669,31.542,31.806,29.676,30.263,31.252,27.635,28.303
2019/10/28 11:47:56,4.924,30.584,31.059,30.598,29.186,30.128,30.872,27.630,27.778
2019/10/28 11:48:27,4.924,30.586,31.003,30.041,29.170,29.912,30.647,27.117,27.564
2019/10/28 11:48:57,4.924,30.168,30.688,29.521,29.036,29.635,30.372,27.073,27.439
2019/10/28 11:49:27,4.924,29.792,30.412,29.143,28.969,29.496,30.089,27.266,27.520
2019/10/28 11:49:57,4.924,29.967,30.462,28.951,29.075,29.396,30.408,27.418,27.619
2019/10/28 11:50:28,4.924,30.017,30.562,28.869,29.232,29.524,30.620,27.753,27.898
2019/10/28 11:50:58,4.924,30.041,30.615,28.906,29.348,29.494,30.525,27.787,28.155
2019/10/28 11:51:28,4.924,30.030,30.805,29.276,29.490,29.630,30.370,28.070,28.431
2019/10/28 11:51:58,4.924,30.496,31.187,30.324,30.001,30.166,31.191,28.686,28.899
2019/10/28 11:52:28,4.924,30.686,31.821,32.031,30.421,30.442,31.697,28.374,29.330
2019/10/28 11:52:59,4.924,30.874,32.217,32.995,30.776,30.773,31.817,28.218,29.309
2019/10/28 11:53:29,4.924,31.144,32.556,33.746,30.993,31.155,32.137,28.523,28.764
2019/10/28 11:53:59,4.924,31.491,32.904,34.276,31.216,31.505,32.458,28.332,28.286
2019/10/28 11:54:29,4.924,31.759,33.083,34.667,31.411,31.694,32.600,28.186,28.077
2019/10/28 11:55:0,4.924,31.361,32.523,33.014,30.805,31.292,32.374,27.384,27.434
2019/10/28 11:55:30,4.924,30.694,31.639,31.697,30.284,30.722,31.683,26.406,27.212
2019/10/28 11:56:0,4.924,30.331,31.007,30.342,29.687,29.919,30.910,26.234,26.782
2019/10/28 11:56:30,4.924,30.205,30.920,30.026,29.740,30.001,30.823,26.062,26.835
2019/10/28 11:57:1,4.924,29.933,30.820,29.579,29.494,29.715,30.794,25.989,26.803
2019/10/28 11:57:31,4.924,29.897,30.748,29.747,29.533,29.755,30.679,26.378,26.965
2019/10/28 11:58:1,4.924,29.837,30.654,30.195,29.555,29.651,30.640,27.095,27.265
2019/10/28 11:58:31,4.924,29.780,30.471,30.001,29.433,29.772,30.791,27.032,27.173
2019/10/28 11:59:2,4.924,29.680,30.421,29.562,29.177,29.651,30.273,26.884,27.007
2019/10/28 11:59:32,4.926,29.378,30.199,29.015,28.780,29.353,30.232,26.532,27.028
2019/10/28 12:0:2,4.924,29.731,30.613,29.914,29.325,29.824,30.696,27.728,27.566
2019/10/28 12:0:32,4.924,30.037,31.090,31.054,29.805,30.048,31.126,28.286,28.211
2019/10/28 12:1:3,4.924,30.252,31.397,31.636,30.170,30.266,31.249,28.736,28.551
2019/10/28 12:1:33,4.924,30.347,31.649,31.837,30.347,30.692,31.522,29.100,28.766
2019/10/28 12:2:3,4.924,30.552,31.823,32.052,30.354,30.757,31.881,28.521,28.525
2019/10/28 12:2:33,4.924,30.732,31.997,32.055,30.455,30.876,31.957,28.153,28.192
2019/10/28 12:3:4,4.924,30.714,32.161,32.095,30.451,30.843,32.019,27.633,27.958
2019/10/28 12:3:34,4.924,30.489,32.210,31.883,30.338,30.884,31.835,27.476,28.002
2019/10/28 12:4:4,4.924,30.822,32.365,31.801,30.505,31.077,32.092,27.979,27.976
2019/10/28 12:4:34,4.924,31.067,32.573,32.117,30.768,31.247,32.365,27.732,28.192
2019/10/28 12:5:5,4.924,31.386,32.684,32.046,30.985,31.589,32.710,28.449,28.406
2019/10/28 12:5:35,4.924,31.431,32.704,32.401,31.186,31.587,32.792,28.231,28.677
2019/10/28 12:6:5,4.924,31.699,32.511,32.354,31.186,31.743,32.576,28.965,28.894
2019/10/28 12:6:35,4.924,31.841,32.525,31.899,31.005,31.594,32.558,29.111,29.058
2019/10/28 12:7:6,4.924,31.047,31.270,30.780,28.970,30.166,30.195,27.219,27.949
2019/10/28 12:7:36,4.924,29.594,28.995,28.410,27.113,28.594,28.112,26.027,26.108
2019/10/28 12:8:6,4.924,28.601,27.900,27.039,26.224,27.578,26.948,25.190,25.015
2019/10/28 12:8:36,4.924,28.257,27.670,26.701,26.346,27.483,26.997,25.221,25.078
2019/10/28 12:9:7,4.924,28.208,28.130,27.103,26.983,27.586,27.610,25.414,25.873
2019/10/28 12:9:37,4.924,28.589,28.752,27.785,27.852,28.089,28.486,26.411,26.802
2019/10/28 12:10:7,4.924,29.072,29.428,28.521,28.660,28.780,29.285,27.326,27.534
2019/10/28 12:10:37,4.924,29.663,30.093,29.168,29.236,29.428,29.910,28.029,27.990
2019/10/28 12:11:8,4.923,30.084,30.701,29.690,29.544,29.819,30.528,27.857,27.914
2019/10/28 12:11:38,4.924,30.268,31.020,30.042,29.738,30.128,30.836,27.760,27.552
2019/10/28 12:12:8,4.926,30.330,31.363,30.294,29.990,30.327,31.559,27.089,27.389
2019/10/28 12:12:38,4.923,30.453,31.680,30.532,30.277,30.773,31.926,27.533,27.536
2019/10/28 12:13:9,4.923,30.733,32.006,30.726,30.676,30.971,32.090,27.557,27.649
2019/10/28 12:13:39,4.923,30.651,32.185,30.863,30.989,31.036,32.571,27.335,27.981
2019/10/28 12:14:9,4.924,30.922,32.368,30.976,31.157,31.316,32.832,27.700,28.181
2019/10/28 12:14:39,4.924,30.861,31.975,30.624,30.606,31.077,32.168,27.778,28.057
2019/10/28 12:15:9,4.924,30.487,31.363,30.093,30.057,30.710,31.518,27.580,27.887
2019/10/28 12:15:40,4.924,29.839,30.922,29.564,29.649,30.060,31.280,27.094,27.718
2019/10/28 12:16:10,4.923,29.930,30.676,29.198,29.565,30.073,30.910,27.614,27.691
2019/10/28 12:16:40,4.923,29.726,30.518,29.095,29.569,29.690,30.690,27.377,27.720
2019/10/28 12:17:10,4.923,29.426,30.453,28.764,29.480,29.519,30.809,27.423,27.688
2019/10/28 12:17:41,4.924,29.585,30.344,28.553,29.432,29.496,30.678,27.496,27.728
2019/10/28 12:18:11,4.923,29.515,30.274,28.566,29.455,29.394,30.421,27.473,27.744
2019/10/28 12:18:41,4.924,29.253,30.265,28.613,29.460,29.271,30.717,27.369,28.025
2019/10/28 12:19:11,4.924,29.624,30.584,29.004,29.974,29.828,31.196,27.732,28.429
2019/10/28 12:19:42,4.923,30.016,31.040,29.562,30.546,30.281,31.484,28.130,28.821
2019/10/28 12:20:12,4.923,30.019,31.238,29.780,30.751,30.464,31.705,28.236,28.729
2019/10/28 12:20:42,4.923,30.048,31.086,29.948,30.428,30.281,31.593,27.614,28.024
2019/10/28 12:21:12,4.923,30.055,31.036,29.801,30.320,30.116,31.861,27.490,27.529
2019/10/28 12:21:43,4.924,30.397,31.298,30.107,30.789,30.333,31.990,27.386,27.305
2019/10/28 12:22:13,4.923,30.651,31.112,29.962,30.460,30.396,31.527,27.085,26.757
2019/10/28 12:22:43,4.923,29.622,29.905,28.946,29.195,29.202,29.448,25.781,25.431
2019/10/28 12:23:13,4.924,29.018,28.780,28.078,28.252,28.901,28.862,25.387,24.953
2019/10/28 12:23:44,4.923,29.223,29.448,28.580,29.116,29.163,29.755,25.669,25.624
2019/10/28 12:24:14,4.924,29.792,30.021,28.919,29.581,29.696,30.240,26.302,26.302
2019/10/28 12:24:44,4.924,29.796,30.347,28.983,29.631,29.778,30.412,26.636,26.756
2019/10/28 12:25:14,4.923,29.915,30.697,29.373,30.155,29.976,30.831,27.050,27.314
2019/10/28 12:25:45,4.923,30.270,31.166,29.655,30.575,30.457,31.227,27.603,27.833
2019/10/28 12:26:15,4.923,30.080,30.859,29.248,29.976,30.180,31.188,27.674,27.780
2019/10/28 12:26:45,4.923,29.530,30.687,28.992,29.647,29.701,30.748,27.374,27.621
2019/10/28 12:27:15,4.923,29.672,30.719,28.928,29.801,29.697,30.881,27.335,27.656
2019/10/28 12:27:46,4.926,30.169,31.226,29.472,30.553,30.316,31.486,27.943,28.204
2019/10/28 12:28:16,4.923,30.417,31.281,29.558,30.611,30.579,31.517,28.363,28.484
2019/10/28 12:28:46,4.923,30.311,31.247,29.467,30.430,30.455,31.569,28.454,28.532
2019/10/28 12:29:16,4.923,30.595,31.642,29.946,30.883,30.778,31.710,28.415,28.915
2019/10/28 12:29:47,4.923,30.557,31.513,29.755,30.608,30.708,31.571,27.921,28.793
2019/10/28 12:30:17,4.924,30.369,31.413,29.685,30.408,30.415,31.670,27.376,28.450
2019/10/28 12:30:47,4.925,30.268,31.170,29.332,30.142,30.228,31.261,26.947,28.082
2019/10/28 12:31:17,4.923,30.077,30.906,28.914,29.801,29.944,30.986,26.867,27.861
2019/10/28 12:31:48,4.923,29.730,30.701,28.828,29.726,29.805,30.964,26.905,27.829
2019/10/28 12:32:18,4.923,30.055,30.939,29.291,30.309,30.475,31.325,27.518,28.314
2019/10/28 12:32:48,4.923,30.449,31.379,30.037,31.011,31.209,31.861,28.084,28.878
2019/10/28 12:33:18,4.923,30.645,31.656,30.448,31.236,31.283,32.157,28.280,29.029
2019/10/28 12:33:49,4.924,30.865,31.728,30.746,31.243,31.689,32.430,28.330,28.720
2019/10/28 12:34:19,4.923,30.503,31.307,30.137,30.590,30.759,31.905,27.635,27.833
2019/10/28 12:34:49,4.924,29.989,30.915,29.428,30.042,30.232,31.460,27.087,27.231
2019/10/28 12:35:19,4.924,29.892,30.822,29.082,29.903,30.082,31.045,26.890,26.650
2019/10/28 12:35:50,4.923,29.833,30.748,29.049,29.937,30.306,31.086,26.789,26.782
2019/10/28 12:36:20,4.924,29.514,30.272,28.866,29.478,29.385,30.537,26.373,26.605
2019/10/28 12:36:50,4.924,29.403,30.218,28.734,29.578,29.499,30.771,26.594,26.461
2019/10/28 12:37:20,4.924,29.478,30.308,28.912,29.806,29.896,30.868,27.087,26.791
2019/10/28 12:37:51,4.924,29.892,30.649,29.828,30.433,30.696,31.240,27.866,27.347
2019/10/28 12:38:21,4.923,30.209,31.000,30.557,30.762,31.144,31.480,28.201,27.776
2019/10/28 12:38:51,4.923,30.374,31.166,31.018,30.975,31.466,31.506,28.385,27.995
2019/10/28 12:39:21,4.924,30.469,30.991,30.876,30.451,30.980,30.998,27.796,27.686
2019/10/28 12:39:52,4.923,30.327,30.475,30.478,29.401,30.525,30.223,26.852,26.930
2019/10/28 12:40:22,4.924,29.006,29.237,29.052,28.282,29.170,28.420,24.669,24.997
2019/10/28 12:40:52,4.924,28.425,28.404,28.663,27.725,29.232,28.121,24.775,24.939
2019/10/28 12:41:22,4.924,28.752,29.058,29.189,28.323,29.688,28.919,25.331,25.580
2019/10/28 12:41:52,4.924,28.539,29.068,29.107,28.418,29.221,28.823,25.251,25.741
2019/10/28 12:42:23,4.924,28.447,28.802,28.699,28.291,28.830,28.667,25.555,25.815
2019/10/28 12:42:53,4.924,28.661,29.173,29.276,28.878,29.519,29.095,25.985,26.252
2019/10/28 12:43:23,4.924,28.930,29.585,30.003,29.364,29.953,29.535,26.313,26.900
2019/10/28 12:43:53,4.923,29.294,30.034,30.618,29.808,30.381,30.044,26.715,27.494
2019/10/28 12:44:24,4.923,29.448,30.317,30.784,29.937,30.611,30.159,26.993,27.734
2019/10/28 12:44:54,4.924,29.638,30.455,31.041,30.139,31.023,30.455,27.330,27.962
2019/10/28 12:45:24,4.924,29.656,30.372,30.879,30.157,30.721,30.645,27.594,27.902
2019/10/28 12:45:54,4.923,29.337,29.894,29.737,29.601,30.209,29.969,27.709,27.540
2019/10/28 12:46:25,4.926,29.166,29.883,29.344,29.522,29.936,29.797,27.456,27.604
2019/10/28 12:46:55,4.924,29.407,30.405,29.978,30.007,30.272,30.379,27.524,27.965
2019/10/28 12:47:25,4.924,29.735,30.789,30.584,30.415,30.793,31.081,27.909,28.465
2019/10/28 12:47:55,4.924,29.999,31.193,31.103,30.814,31.413,31.533,28.376,28.873
2019/10/28 12:48:26,4.923,30.396,31.448,31.477,31.054,31.926,31.821,28.668,29.049
2019/10/28 12:48:56,4.923,30.496,31.734,31.806,31.227,31.897,31.901,27.638,28.896
2019/10/28 12:49:26,4.925,30.557,31.896,31.744,31.237,32.110,32.027,27.667,28.598
2019/10/28 12:49:57,4.923,30.867,32.075,31.930,31.513,32.407,32.443,27.727,28.463
2019/10/28 12:50:27,4.923,30.845,32.254,32.272,31.709,32.396,32.710,27.039,28.392
2019/10/28 12:50:57,4.923,31.110,32.464,32.256,31.892,32.844,33.203,27.894,28.589
2019/10/28 12:51:27,4.923,31.169,32.575,32.425,32.090,33.073,33.069,28.222,28.789
2019/10/28 12:51:57,4.923,31.198,32.407,32.378,31.857,32.582,33.076,27.921,28.857
2019/10/28 12:52:28,4.923,31.300,32.352,32.170,31.690,32.739,32.834,28.466,28.633
2019/10/28 12:52:58,4.923,30.953,32.265,32.181,31.462,32.600,32.714,27.868,28.622
2019/10/28 12:53:28,4.923,30.931,31.796,31.770,31.029,32.246,32.228,28.070,28.247
2019/10/28 12:53:58,4.923,30.813,31.719,31.643,30.877,32.104,31.672,28.201,28.073
2019/10/28 12:54:29,4.924,30.039,30.451,30.742,29.746,30.757,30.394,27.446,27.312
