treatment: wet (baseline)
timestamp, Vin, d6_bottom, d6_top, d7_bottom, d7_top, d10_bottom, d10_top, d11_bottom, d11_top
2019/10/24 15:27:10,4.924,27.182,26.721,26.724,25.780,26.538,26.573,26.907,26.036
2019/10/24 15:27:40,4.924,27.265,26.814,26.782,25.877,26.610,26.768,26.986,26.255
2019/10/24 15:28:11,4.924,27.399,26.888,26.916,26.024,26.680,26.652,27.134,26.126
2019/10/24 15:28:41,4.924,27.552,26.985,26.992,26.036,26.693,26.858,27.186,26.268
2019/10/24 15:29:11,4.924,27.526,26.916,26.969,25.989,26.733,26.568,27.159,25.866
2019/10/24 15:29:41,4.924,27.485,26.805,26.809,25.843,26.805,26.506,27.069,25.682
2019/10/24 15:30:12,4.924,27.446,26.784,26.784,25.570,26.788,26.949,27.034,26.106
2019/10/24 15:30:42,4.924,27.402,26.723,26.723,25.736,26.821,26.593,27.018,25.649
2019/10/24 15:31:12,4.924,27.302,26.661,26.629,25.556,26.721,26.566,26.904,25.668
2019/10/24 15:31:42,4.924,27.256,26.665,26.601,25.475,26.781,26.650,26.840,25.517
2019/10/24 15:32:13,4.924,27.147,26.615,26.503,25.437,26.650,26.492,26.784,25.759
2019/10/24 15:32:43,4.924,27.046,26.575,26.452,25.397,26.410,26.536,26.614,25.831
2019/10/24 15:33:13,4.924,26.643,26.383,26.096,25.276,25.962,26.243,26.250,25.654
2019/10/24 15:33:43,4.924,26.217,26.090,25.628,25.015,25.712,26.052,25.778,25.267
2019/10/24 15:34:13,4.924,25.919,25.824,25.302,24.858,25.617,25.719,25.579,25.022
2019/10/24 15:34:44,4.924,25.870,25.656,25.379,24.854,25.281,25.561,25.596,24.980
2019/10/24 15:35:14,4.924,26.062,25.572,25.561,24.840,25.442,25.838,25.817,25.246
2019/10/24 15:35:44,4.924,26.090,25.680,25.621,24.788,25.365,25.505,25.877,24.973
2019/10/24 15:36:14,4.924,26.290,25.908,25.764,25.040,25.418,25.670,25.985,25.019
2019/10/24 15:36:45,4.924,26.445,26.097,25.943,25.099,25.502,25.870,26.066,25.383
2019/10/24 15:37:15,4.924,26.470,26.266,26.052,25.260,25.621,25.841,26.196,25.183
2019/10/24 15:37:45,4.924,26.573,26.324,26.152,25.181,26.103,25.997,26.355,25.353
2019/10/24 15:38:15,4.926,26.493,26.209,26.044,24.826,25.971,26.065,26.195,25.232
2019/10/24 15:38:46,4.924,26.364,26.108,25.971,24.641,25.554,26.003,25.996,25.061
2019/10/24 15:39:16,4.924,26.241,25.922,25.785,24.770,25.589,25.579,25.936,24.386
2019/10/24 15:39:46,4.924,26.363,25.991,25.780,24.674,25.798,25.840,25.889,24.622
2019/10/24 15:40:16,4.924,26.333,25.947,25.785,24.718,25.467,25.733,25.824,24.575
2019/10/24 15:40:47,4.924,26.480,26.013,25.743,24.760,25.761,25.954,25.827,24.935
2019/10/24 15:41:17,4.924,26.415,26.001,25.798,24.702,25.528,25.668,25.815,24.838
2019/10/24 15:41:47,4.924,26.487,26.073,25.775,24.865,25.848,25.877,25.919,25.141
2019/10/24 15:42:17,4.924,26.540,26.090,25.852,25.190,25.908,25.572,26.024,24.826
2019/10/24 15:42:48,4.924,26.492,26.064,25.962,24.968,25.685,25.759,25.980,25.216
2019/10/24 15:43:18,4.924,26.385,25.982,25.782,24.865,25.891,25.768,25.950,25.155
2019/10/24 15:43:48,4.924,26.445,26.024,25.939,24.987,25.575,25.603,26.038,25.109
2019/10/24 15:44:18,4.924,26.542,26.085,25.997,24.866,25.713,25.808,26.120,25.076
2019/10/24 15:44:49,4.924,26.527,26.096,25.990,24.880,25.675,25.731,26.201,24.901
