treatment: moderate
timestamp, Vin, m6_bottom, m6_top, m7_bottom, m7_top, m10_bottom, m10_top, m11_bottom, m11_top
2019/11/18 11:51:5,5.033,-78.483,nan,29.102,34.934,27.923,28.907,28.054,29.856
treatment: moderate
timestamp, Vin, m6_bottom, m6_top, m7_bottom, m7_top, m10_bottom, m10_top, m11_bottom, m11_top
2019/11/18 11:51:22,5.037,-90.930,nan,28.590,34.224,27.877,28.857,27.552,29.525
2019/11/18 11:52:22,5.037,-75.619,nan,26.943,33.335,27.277,28.230,26.255,28.372
2019/11/18 11:53:23,5.037,26.594,27.733,26.824,32.574,26.357,27.082,25.948,27.816
2019/11/18 11:54:23,5.036,26.614,27.820,27.533,33.471,26.397,26.885,26.446,28.242
treatment: moderate
timestamp, Vin, m6_bottom, m6_top, m7_bottom, m7_top, m10_bottom, m10_top, m11_bottom, m11_top
2019/11/18 11:54:59,4.967,26.799,27.868,27.710,33.639,26.436,26.858,26.523,28.380
2019/11/18 11:56:0,4.965,26.562,27.649,27.358,32.685,26.311,26.562,26.374,27.992
2019/11/18 11:57:0,4.964,26.628,27.491,27.358,32.656,26.207,26.471,26.259,27.869
2019/11/18 11:58:0,4.965,26.852,27.782,27.680,32.258,26.576,26.723,26.744,28.168
2019/11/18 11:59:1,4.963,27.143,28.057,28.141,32.022,26.884,27.080,27.157,28.492
2019/11/18 12:0:1,4.963,27.109,27.995,27.957,32.097,26.872,27.218,27.067,28.304
2019/11/18 12:1:2,4.962,27.501,28.276,28.329,31.931,27.074,27.536,27.410,28.589
2019/11/18 12:2:2,4.962,27.316,28.329,28.188,32.654,26.760,27.578,27.053,28.505
2019/11/18 12:3:2,4.962,27.221,28.160,28.121,32.459,26.690,27.623,26.990,28.406
2019/11/18 12:4:3,4.962,27.144,28.055,27.946,31.654,26.680,27.595,26.959,28.290
2019/11/18 12:5:3,4.962,27.546,28.473,28.315,31.428,26.847,27.750,27.238,28.536
2019/11/18 12:6:3,4.962,27.555,28.626,28.021,31.096,26.950,27.955,27.079,28.612
2019/11/18 12:7:4,4.962,27.392,29.001,27.501,31.607,26.931,27.865,26.837,28.529
2019/11/18 12:8:4,4.962,27.139,28.725,27.377,31.290,26.737,27.811,26.671,28.292
2019/11/18 12:9:5,4.962,27.265,28.584,27.517,31.279,26.671,27.496,26.664,28.067
2019/11/18 12:10:5,4.962,27.772,28.689,28.207,31.354,27.051,27.888,27.174,28.577
2019/11/18 12:11:5,4.962,27.191,28.770,27.412,30.689,26.873,27.786,26.706,28.144
2019/11/18 12:12:6,4.962,26.619,28.366,26.741,30.115,26.535,27.534,26.134,27.681
2019/11/18 12:13:6,4.962,26.996,27.958,27.618,30.069,26.490,27.212,26.765,27.930
2019/11/18 12:14:7,4.962,27.153,28.401,28.025,30.133,26.772,27.576,27.097,28.292
2019/11/18 12:15:7,4.962,27.076,28.250,28.067,29.895,26.653,27.485,27.114,28.288
2019/11/18 12:16:7,4.962,27.221,28.234,28.097,29.479,26.830,27.651,27.182,28.371
2019/11/18 12:17:8,4.963,27.573,28.570,28.605,29.675,27.160,27.994,27.580,28.732
2019/11/18 12:18:8,4.962,27.799,28.804,28.445,29.634,27.501,28.357,27.487,28.927
2019/11/18 12:19:8,4.962,27.109,28.427,27.140,28.695,27.120,28.048,26.627,28.132
2019/11/18 12:20:9,4.962,27.235,28.195,27.704,28.624,26.910,27.827,26.871,28.206
2019/11/18 12:21:9,4.962,27.298,28.171,27.714,28.561,26.934,27.963,26.767,28.396
2019/11/18 12:22:10,4.962,26.987,28.083,27.214,28.153,26.516,27.704,26.491,27.967
2019/11/18 12:23:10,4.962,27.371,27.999,28.048,28.283,26.690,27.599,27.018,28.424
2019/11/18 12:24:10,4.962,27.620,28.251,28.336,28.364,26.931,27.651,27.308,28.501
2019/11/18 12:25:11,4.962,27.420,28.121,27.792,28.125,26.690,27.725,26.980,28.311
2019/11/18 12:26:11,4.962,27.795,28.353,28.248,28.227,26.924,27.788,27.249,28.473
2019/11/18 12:27:12,4.962,27.644,28.420,28.132,28.255,26.980,27.862,27.298,28.526
2019/11/18 12:28:12,4.962,27.736,28.234,28.104,28.121,26.857,27.872,27.158,28.529
2019/11/18 12:29:12,4.962,27.634,28.297,28.272,28.086,26.861,27.816,27.210,28.533
2019/11/18 12:30:13,4.962,27.753,28.374,28.209,28.125,26.840,28.013,27.207,28.578
2019/11/18 12:31:13,4.962,28.058,28.543,28.441,28.209,27.168,28.216,27.501,28.741
2019/11/18 12:32:13,4.961,28.067,28.647,28.373,28.243,27.051,28.232,27.398,28.725
2019/11/18 12:33:14,4.962,27.630,28.301,28.097,27.967,26.728,28.002,27.011,28.529
2019/11/18 12:34:14,4.962,27.732,28.424,28.185,27.949,26.774,27.956,27.060,28.582
2019/11/18 12:35:15,4.962,27.630,28.403,27.935,27.851,26.568,27.795,26.857,28.434
2019/11/18 12:36:15,4.961,27.821,28.404,27.990,27.881,26.751,27.783,26.992,28.165
2019/11/18 12:37:15,4.962,27.992,28.455,27.739,27.658,26.857,27.623,27.004,27.781
2019/11/18 12:38:16,4.962,28.251,28.586,28.090,28.013,26.878,27.746,27.095,28.227
2019/11/18 12:39:16,4.961,28.608,28.971,28.366,28.355,27.272,28.102,27.552,28.608
2019/11/18 12:40:17,4.962,28.427,28.899,28.346,28.329,27.217,28.325,27.473,28.631
2019/11/18 12:41:17,4.961,28.651,29.152,28.457,28.489,27.453,28.601,27.660,28.781
2019/11/18 12:42:17,4.961,28.630,29.356,28.411,28.338,27.411,28.552,27.524,28.608
2019/11/18 12:43:18,4.961,29.362,29.975,28.920,28.677,28.030,28.913,28.248,29.111
2019/11/18 12:44:18,4.961,29.063,30.073,28.615,28.848,27.713,28.873,27.899,29.332
2019/11/18 12:45:19,4.961,28.763,29.806,28.018,28.464,27.331,28.746,27.268,28.887
2019/11/18 12:46:19,4.961,28.658,29.732,28.120,28.468,27.418,28.485,27.401,28.848
2019/11/18 12:47:19,4.961,29.046,29.686,28.366,28.345,27.811,28.672,27.846,28.760
2019/11/18 12:48:20,4.961,29.009,30.050,28.364,28.455,27.714,28.667,27.879,28.952
2019/11/18 12:49:20,4.961,28.832,30.210,28.244,28.748,27.669,28.652,27.841,29.051
2019/11/18 12:50:20,4.961,29.436,30.405,28.896,28.984,28.350,28.867,28.455,29.220
2019/11/18 12:51:21,4.961,29.532,30.398,29.023,29.450,28.628,29.111,28.825,29.698
2019/11/18 12:52:21,4.961,30.073,30.850,29.314,29.583,29.028,29.349,29.286,29.856
2019/11/18 12:53:22,4.961,30.144,31.426,29.505,30.002,29.120,29.569,29.587,30.311
2019/11/18 12:54:22,4.963,30.305,31.891,29.918,30.640,28.934,29.879,29.560,30.844
2019/11/18 12:55:22,4.961,29.851,31.662,29.390,30.794,28.578,29.851,29.111,30.644
2019/11/18 12:56:23,4.961,29.813,31.272,28.700,29.977,28.823,29.771,28.841,29.838
2019/11/18 12:57:23,4.961,29.107,30.851,28.839,30.387,28.135,29.426,28.533,29.865
2019/11/18 12:58:23,4.961,29.813,31.362,29.579,31.118,28.890,29.877,29.565,30.560
2019/11/18 12:59:24,4.961,29.863,31.876,29.583,31.401,29.144,30.087,29.562,30.996
2019/11/18 13:0:24,4.961,29.727,31.838,29.613,31.878,28.804,30.060,29.426,30.973
2019/11/18 13:1:25,4.961,29.440,31.655,29.157,31.928,28.487,29.911,29.129,30.748
2019/11/18 13:2:25,4.961,29.579,31.725,29.275,32.526,28.869,30.119,29.565,30.567
2019/11/18 13:3:26,4.961,29.509,31.653,29.144,32.273,28.693,30.119,29.289,30.471
2019/11/18 13:4:26,4.961,29.496,31.759,29.174,32.833,29.079,30.121,29.472,30.698
2019/11/18 13:5:26,4.961,29.588,31.741,29.323,32.844,29.054,30.043,29.507,30.502
2019/11/18 13:6:27,4.961,29.136,31.227,28.934,32.891,28.656,29.879,28.998,30.352
2019/11/18 13:7:27,4.961,29.284,31.396,29.518,33.288,29.132,29.929,29.546,30.787
2019/11/18 13:8:27,4.961,29.160,31.177,29.486,33.022,29.069,29.762,29.302,30.819
2019/11/18 13:9:28,4.961,29.113,31.419,29.562,32.740,29.046,29.764,29.449,31.261
2019/11/18 13:10:28,4.961,29.069,31.432,29.521,32.376,29.086,29.695,29.518,31.500
2019/11/18 13:11:29,4.961,29.418,31.914,29.819,32.648,29.890,30.000,29.893,32.047
2019/11/18 13:12:29,4.961,29.858,32.456,30.498,33.117,30.562,30.437,30.477,32.528
2019/11/18 13:13:29,4.961,29.663,32.101,30.085,33.449,30.380,30.523,30.046,32.481
2019/11/18 13:14:30,4.961,29.358,31.943,29.723,32.928,30.000,30.459,29.787,32.029
2019/11/18 13:15:30,4.961,29.581,32.152,29.869,32.564,30.249,30.455,30.018,31.442
2019/11/18 13:16:30,4.961,29.780,32.286,30.409,32.873,30.669,30.848,30.509,31.770
2019/11/18 13:17:31,4.961,29.730,32.376,30.149,32.935,30.441,30.891,30.316,31.442
2019/11/18 13:18:31,4.961,29.457,32.069,29.908,32.557,30.242,30.534,30.135,31.245
2019/11/18 13:19:32,4.961,29.956,32.570,30.582,32.897,30.975,30.918,30.971,31.624
2019/11/18 13:20:32,4.961,29.358,32.065,29.829,33.212,30.203,30.759,29.940,31.245
2019/11/18 13:21:32,4.961,29.224,31.730,29.819,33.142,30.096,30.502,29.443,30.791
2019/11/18 13:22:33,4.961,29.298,31.896,29.925,33.161,30.448,30.470,29.376,30.941
2019/11/18 13:23:33,4.961,29.097,31.842,29.837,33.416,30.345,30.641,29.150,30.837
2019/11/18 13:24:33,4.961,28.966,31.557,29.493,33.070,29.922,30.188,28.744,30.302
2019/11/18 13:25:34,4.962,28.709,31.266,29.287,32.745,30.071,29.840,28.519,29.723
2019/11/18 13:26:34,4.961,28.526,31.245,29.118,32.362,29.769,29.673,28.315,29.787
2019/11/18 13:27:35,4.961,28.436,30.892,29.081,31.750,29.456,29.434,28.141,29.473
2019/11/18 13:28:35,4.961,28.373,31.157,29.120,31.477,29.381,29.395,28.264,29.792
2019/11/18 13:29:36,4.961,28.385,31.313,29.164,31.066,28.786,29.585,28.371,29.769
2019/11/18 13:30:36,4.961,28.049,30.689,28.580,30.275,28.014,29.204,28.137,29.222
2019/11/18 13:31:36,4.961,27.997,30.785,28.633,29.849,27.758,29.010,28.327,29.261
2019/11/18 13:32:37,4.961,27.697,30.213,28.399,29.291,27.392,28.667,27.974,28.959
2019/11/18 13:33:37,4.961,27.709,30.475,28.454,29.611,27.506,28.862,28.422,29.250
2019/11/18 13:34:37,4.961,27.806,30.213,28.593,28.942,27.480,28.663,28.311,29.136
2019/11/18 13:35:38,4.961,27.962,30.486,28.792,29.657,27.744,29.070,28.774,29.311
2019/11/18 13:36:38,4.961,27.841,30.331,28.670,29.542,27.529,29.097,28.494,29.150
2019/11/18 13:37:39,4.961,27.872,30.117,28.593,29.136,27.585,28.991,28.339,29.086
2019/11/18 13:38:39,4.961,28.711,30.721,29.452,29.445,28.482,29.385,29.236,29.569
2019/11/18 13:39:39,4.961,28.013,30.444,28.494,29.316,27.855,29.238,28.536,29.111
2019/11/18 13:40:40,4.961,28.427,30.926,29.047,30.206,28.388,29.677,29.100,29.719
2019/11/18 13:41:40,4.961,28.582,30.851,29.129,30.018,28.526,29.915,29.150,29.808
2019/11/18 13:42:40,4.961,28.561,30.427,29.182,29.457,28.286,29.574,28.797,29.627
2019/11/18 13:43:41,4.961,28.297,30.156,28.829,29.549,27.960,29.341,28.392,29.280
2019/11/18 13:44:41,4.961,28.411,30.625,29.162,30.357,28.401,29.668,28.922,29.629
2019/11/18 13:45:42,4.961,28.950,31.265,29.629,30.835,28.873,30.190,29.378,30.087
2019/11/18 13:46:42,4.961,29.226,31.534,29.806,31.268,28.975,30.432,29.417,30.382
2019/11/18 13:47:42,4.961,28.204,30.439,28.957,30.322,27.927,29.760,28.313,29.806
2019/11/18 13:48:43,4.961,27.742,29.986,28.434,29.854,27.452,29.277,28.023,29.351
2019/11/18 13:49:43,4.961,27.879,30.231,28.593,30.227,27.515,29.238,28.251,29.532
2019/11/18 13:50:44,4.961,28.417,30.459,29.146,30.035,28.044,29.546,28.836,29.805
2019/11/18 13:51:44,4.961,28.480,30.430,29.323,29.595,28.079,29.401,28.857,29.773
2019/11/18 13:52:44,4.961,28.021,29.860,28.919,29.286,27.583,29.134,28.186,29.771
2019/11/18 13:53:45,4.962,27.438,29.076,28.072,28.034,27.022,28.434,27.455,28.702
2019/11/18 13:54:45,4.962,26.976,28.378,27.529,27.410,26.536,27.728,26.861,27.970
2019/11/18 13:55:46,4.962,26.973,28.213,27.778,27.497,26.690,27.683,27.168,27.942
2019/11/18 13:56:46,4.962,26.906,28.121,27.539,27.539,26.645,27.609,27.008,27.792
2019/11/18 13:57:46,4.962,26.519,28.171,27.228,27.588,26.279,27.459,26.592,27.655
2019/11/18 13:58:47,4.962,26.406,27.958,27.244,27.422,26.106,27.314,26.636,27.485
2019/11/18 13:59:47,4.962,26.326,27.948,27.090,27.590,26.117,27.384,26.779,27.734
2019/11/18 14:0:47,4.962,26.273,27.899,27.027,26.926,26.033,27.314,26.653,27.520
2019/11/18 14:1:48,4.962,26.490,28.032,27.272,26.856,26.239,27.293,27.027,27.762
2019/11/18 14:2:48,4.964,26.698,28.561,27.529,27.624,26.422,27.894,27.396,28.424
2019/11/18 14:3:49,4.962,26.723,28.584,27.422,27.405,26.479,27.888,27.475,27.667
2019/11/18 14:4:49,4.962,26.859,29.017,27.825,27.758,26.333,28.060,27.730,27.850
2019/11/18 14:5:49,4.962,27.223,29.339,27.951,27.871,26.891,28.345,28.475,28.092
2019/11/18 14:6:50,4.962,27.335,29.257,28.060,27.916,27.062,28.436,28.461,28.120
2019/11/18 14:7:50,4.962,27.485,29.261,28.137,27.828,27.244,28.542,28.450,28.218
2019/11/18 14:8:50,4.962,26.858,28.526,27.459,27.165,26.516,27.995,27.232,27.704
2019/11/18 14:9:51,4.962,26.453,27.939,27.025,26.666,26.164,27.413,26.760,27.235
2019/11/18 14:10:51,4.962,26.230,27.494,26.812,26.516,25.906,27.134,26.383,26.927
2019/11/18 14:11:52,4.962,26.247,27.637,26.886,27.176,26.004,27.148,26.694,27.113
2019/11/18 14:12:52,4.962,26.798,28.568,27.616,29.047,26.321,27.883,26.896,27.550
2019/11/18 14:13:52,4.962,26.694,28.536,27.452,28.417,26.070,28.020,26.861,27.655
2019/11/18 14:14:53,4.962,26.233,27.921,26.788,27.830,25.698,27.560,26.373,27.225
2019/11/18 14:15:53,4.962,26.258,27.995,26.858,27.921,25.819,27.581,26.627,27.361
2019/11/18 14:16:54,4.962,26.282,28.006,26.941,27.844,25.864,27.525,26.467,27.315
2019/11/18 14:17:54,4.962,26.451,27.871,26.877,27.384,26.145,27.380,26.577,27.279
2019/11/18 14:18:54,4.962,27.113,28.392,27.634,27.872,26.934,27.816,27.280,27.953
2019/11/18 14:19:55,4.962,27.518,28.811,28.020,28.343,27.350,28.353,27.613,28.547
2019/11/18 14:20:55,4.962,27.760,29.090,28.216,28.494,27.595,28.589,27.767,28.790
2019/11/18 14:21:56,4.962,28.144,29.321,28.587,28.573,27.934,28.845,28.267,29.035
2019/11/18 14:22:56,4.962,27.616,28.818,27.974,27.855,27.291,28.427,27.501,28.526
2019/11/18 14:23:56,4.962,27.347,28.434,27.676,27.490,27.018,28.209,27.336,28.290
2019/11/18 14:24:57,4.962,27.406,28.529,27.764,27.725,27.074,28.209,27.385,28.593
2019/11/18 14:25:57,4.962,26.959,28.206,27.287,27.361,26.540,27.935,26.708,28.209
2019/11/18 14:26:57,4.962,26.990,28.216,27.375,27.396,26.645,27.841,26.879,28.367
2019/11/18 14:27:58,4.962,26.828,27.850,27.209,26.828,26.340,27.601,26.580,27.888
2019/11/18 14:28:58,4.962,26.375,27.692,26.695,26.430,25.835,27.195,26.253,27.548
2019/11/18 14:29:59,4.962,26.371,27.342,26.688,26.249,25.943,27.083,26.263,27.254
2019/11/18 14:30:59,4.962,26.704,27.701,26.955,26.561,26.387,27.228,26.753,27.329
2019/11/18 14:31:59,4.962,26.994,27.946,27.193,26.938,26.722,27.525,27.106,27.522
