treatment: moderate
timestamp, Vin, m6_bottom, m6_top, m7_bottom, m7_top, m10_bottom, m10_top, m11_bottom, m11_top
2019/10/24 14:23:6,4.971,26.169,25.693,26.625,25.887,26.287,26.569,29.047,26.200
2019/10/24 14:23:37,4.969,26.291,25.860,26.726,26.277,26.514,26.768,29.395,26.308
2019/10/24 14:24:7,4.968,26.574,26.059,26.533,26.654,26.857,27.087,29.273,26.557
2019/10/24 14:24:37,4.967,26.642,26.141,26.673,26.698,27.036,27.266,30.195,26.858
2019/10/24 14:25:8,4.967,26.820,26.374,27.074,26.813,27.169,27.375,28.693,27.015
2019/10/24 14:25:38,4.967,27.017,26.445,27.139,26.797,27.142,27.436,29.450,27.216
2019/10/24 14:26:8,4.967,27.025,26.697,27.085,26.806,27.315,27.483,28.120,27.308
2019/10/24 14:26:39,4.967,26.859,26.608,27.072,26.703,27.334,27.418,29.104,27.247
2019/10/24 14:27:9,4.966,26.692,26.560,26.929,26.636,27.394,27.404,30.511,27.215
2019/10/24 14:27:39,4.966,26.636,26.521,26.978,26.566,27.425,27.453,28.642,27.180
2019/10/24 14:28:10,4.966,26.605,26.539,27.132,26.483,27.439,27.467,28.565,27.149
2019/10/24 14:28:40,4.966,26.511,26.354,27.226,26.323,27.320,27.429,27.716,27.027
2019/10/24 14:29:10,4.966,26.370,26.202,27.126,26.109,27.273,27.339,27.266,26.952
2019/10/24 14:29:41,4.966,26.258,25.924,26.966,25.956,27.067,27.172,27.015,26.924
2019/10/24 14:30:11,4.966,26.091,25.601,26.652,25.813,26.959,26.973,26.868,26.840
2019/10/24 14:30:41,4.966,25.990,25.497,26.192,25.796,26.899,26.871,26.882,26.694
2019/10/24 14:31:12,4.966,26.042,25.490,26.175,25.785,26.767,26.739,26.830,26.593
2019/10/24 14:31:42,4.967,25.921,25.407,25.970,25.852,26.502,26.687,26.764,26.398
2019/10/24 14:32:12,4.966,25.964,25.380,26.406,25.881,26.347,26.622,26.612,26.361
2019/10/24 14:32:43,4.966,25.957,25.634,26.336,25.846,26.235,26.591,26.511,26.173
2019/10/24 14:33:13,4.966,25.954,25.460,26.030,25.818,26.131,26.538,26.448,26.058
2019/10/24 14:33:43,4.966,26.041,25.523,26.319,25.822,26.173,26.608,26.333,26.051
2019/10/24 14:34:14,4.966,26.061,25.363,25.846,25.794,26.211,26.584,26.483,26.100
2019/10/24 14:34:44,4.966,26.093,25.304,26.364,25.829,26.138,26.653,26.347,26.138
