treatment: dry
timestamp, Vin, w6_bottom, w6_top, w7_bottom, w7_top, w10_bottom, w10_top, w11_bottom, w11_top
2019/11/6 12:41:34,4.760,28.988,27.454,27.874,25.448,26.089,25.611,26.035,28.020
2019/11/6 12:42:4,4.802,29.272,27.662,28.154,26.196,26.524,25.909,26.531,28.209
2019/11/6 12:42:34,4.803,29.400,27.803,28.256,26.229,26.676,26.013,26.708,28.187
2019/11/6 12:43:5,4.803,29.903,28.305,28.712,26.861,27.154,26.328,27.396,28.389
2019/11/6 12:43:35,4.803,29.954,28.305,28.658,26.465,27.125,26.318,27.060,28.487
2019/11/6 12:44:5,4.804,30.266,28.324,28.876,26.574,27.338,26.372,27.461,28.440
2019/11/6 12:44:35,4.804,30.813,28.911,29.411,27.059,28.003,26.867,28.206,28.904
2019/11/6 12:45:6,4.805,31.034,29.192,29.546,28.072,28.191,26.991,28.275,29.206
2019/11/6 12:45:36,4.805,31.206,29.467,29.676,27.809,28.309,27.191,28.451,29.354
2019/11/6 12:46:6,4.805,31.091,29.281,29.624,27.436,28.019,27.104,28.063,29.233
2019/11/6 12:46:36,4.805,31.151,29.369,29.643,27.248,28.059,27.223,28.226,29.343
2019/11/6 12:47:7,4.826,31.014,29.376,29.587,28.053,27.978,27.099,28.133,29.416
2019/11/6 12:47:37,4.806,30.790,29.075,29.396,27.616,27.717,26.962,27.891,29.184
2019/11/6 12:48:7,4.807,30.788,29.106,29.496,27.856,27.900,27.094,28.215,29.281
2019/11/6 12:48:37,4.806,30.997,29.261,29.633,27.344,28.050,27.211,28.315,29.385
2019/11/6 12:49:7,4.806,30.923,29.290,29.608,27.229,27.992,27.243,28.206,29.374
2019/11/6 12:49:38,4.807,29.999,28.976,28.914,27.511,27.222,26.998,27.070,29.224
2019/11/6 12:50:8,4.807,29.900,28.355,28.769,27.135,26.714,26.368,26.728,28.518
2019/11/6 12:50:38,4.807,29.977,28.485,28.816,27.439,27.197,26.732,27.413,28.856
2019/11/6 12:51:8,4.807,30.170,28.651,28.869,27.567,27.408,26.780,27.506,28.978
