"by15","par1_n","par2_s","pyr1_n","pyr2_s","am2320_high_temp","am2320_high_rh","sht2_low_temp","sht2_low_rh","bmp_box_temp","bmp_box_atm_p","soil_t1","soil_t2","soil_t3","soil_t4"
2019-08-29 15:45:00,438.756206896552,769.434827586207,219.075517241379,318.427586206897,34.8,21.0172413793103,32.3268965517241,26.6986206896552,37.3210344827586,84913.7313793103,35.69,34.0227586206897,36.0465517241379,34.1375862068966
2019-08-29 16:00:00,371.520666666667,424.097333333333,165.103666666667,160.572666666667,34.8233333333333,19.8933333333333,33.0626666666667,24.5476666666667,37.6213333333333,84935.2096666667,35.72,34.174,36.2903333333333,34.216
2019-08-29 16:15:00,487.326551724138,561.207586206897,240.680344827586,240.518275862069,34.4620689655172,20.3034482758621,32.7855172413793,25.1672413793103,37.3910344827586,84941.7027586207,35.75,34.2896551724138,36.4296551724138,34.3037931034483
2019-08-29 16:30:00,387.973,493.645333333333,202.969666666667,186.407666666667,34.2166666666667,20.98,32.4643333333333,25.9246666666667,36.9903333333333,84948.7356666667,35.75,34.4096666666667,36.44,34.3426666666667
2019-08-29 16:45:00,338.047586206897,439.155517241379,167.295862068966,194.075172413793,33.6034482758621,21.1793103448276,31.8110344827586,26.6462068965517,35.8034482758621,84959.5655172414,35.698275862069,34.4937931034483,36.3962068965517,34.3510344827586
2019-08-29 17:00:00,341.997,361.068666666667,184.688,158.126,32.63,22.5733333333333,30.8046666666667,28.71,34.2563333333333,84980.565,35.6043333333333,34.558,36.278,34.3123333333333
2019-08-29 17:15:00,231.554137931034,281.841379310345,122.25275862069,109.536551724138,31.6137931034483,23.2862068965517,30.0106896551724,29.401724137931,33.0372413793103,84987.3175862069,35.4772413793103,34.56,36.1310344827586,34.308275862069
2019-08-29 17:30:00,170.315666666667,152.727333333333,67.8133333333333,57.4493333333333,30.4533333333333,24.4566666666667,29.1273333333333,31.0073333333333,32.1486666666667,84998.419,35.2843333333333,34.556,35.9286666666667,34.222
2019-08-29 17:45:00,4.37344827586207,117.536551724138,27.4255172413793,24.138275862069,29.8413793103448,24.9,28.5286206896552,31.6610344827586,31.4427586206897,85013.6868965517,35.0527586206897,34.4896551724138,35.6975862068966,34.1165517241379
2019-08-29 18:00:00,28.5237931034483,58.52,9.32172413793104,4.95793103448276,28.3965517241379,26.1827586206897,27.7344827586207,32.6068965517241,30.7565517241379,85024.1162068965,34.811724137931,34.3951724137931,35.4493103448276,33.9793103448276
