Record Type,Date and Time,Annotation,Average Above PAR,Average Below PAR,Tau [Τ],Leaf Area Index [LAI],Leaf Distribuition [Χ],Beam Fraction [Fb],Zenith Angle,Latitude,Longitude
SUM,12/5/2019 3:02:50 PM,,0.0,45.9,0.000,0.00,1.00,0.00,77°,40°,-105°
SUM,12/5/2019 3:17:49 PM,,0.0,27.8,0.000,0.00,1.00,0.00,79°,40°,-105°
SUM,12/5/2019 3:32:49 PM,,0.0,13.7,0.000,0.00,1.00,0.00,81°,40°,-105°
SUM,12/5/2019 3:47:49 PM,,0.0,12.5,0.000,0.00,1.00,0.00,83°,40°,-105°
SUM,12/5/2019 4:02:49 PM,,0.0,10.5,0.000,0.00,1.00,0.00,85°,40°,-105°
SUM,12/5/2019 4:17:49 PM,,0.0,3.4,0.000,0.00,1.00,0.00,88°,40°,-105°
SUM,12/5/2019 4:32:49 PM,,0.0,0.6,0.000,0.00,1.00,0.00,90°,40°,-105°
SUM,12/5/2019 4:47:49 PM,,0.0,0.1,0.000,0.00,1.00,0.00,93°,40°,-105°
SUM,12/5/2019 5:02:49 PM,,0.0,0.1,0.000,0.00,1.00,0.00,95°,40°,-105°
SUM,12/5/2019 5:17:49 PM,,0.0,0.1,0.000,0.00,1.00,0.00,98°,40°,-105°
SUM,12/5/2019 5:32:49 PM,,0.0,0.1,0.000,0.00,1.00,0.00,101°,40°,-105°
SUM,12/5/2019 5:47:49 PM,,0.0,0.1,0.000,0.00,1.00,0.00,103°,40°,-105°
SUM,12/5/2019 6:02:49 PM,,0.0,0.1,0.000,0.00,1.00,0.00,106°,40°,-105°
SUM,12/5/2019 6:17:49 PM,,0.0,0.1,0.000,0.00,1.00,0.00,109°,40°,-105°
SUM,12/5/2019 6:32:49 PM,,0.0,0.1,0.000,0.00,1.00,0.00,112°,40°,-105°
SUM,12/5/2019 6:47:49 PM,,0.0,0.1,0.000,0.00,1.00,0.00,115°,40°,-105°
SUM,12/5/2019 7:02:49 PM,,0.0,0.1,0.000,0.00,1.00,0.00,118°,40°,-105°
SUM,12/5/2019 7:17:49 PM,,0.0,0.0,0.000,0.00,1.00,0.00,120°,40°,-105°
SUM,12/5/2019 7:32:49 PM,,0.0,0.0,0.000,0.00,1.00,0.00,123°,40°,-105°
SUM,12/5/2019 7:47:49 PM,,0.0,0.0,0.000,0.00,1.00,0.00,126°,40°,-105°
SUM,12/5/2019 8:02:49 PM,,0.0,0.0,0.000,0.00,1.00,0.00,129°,40°,-105°
SUM,12/5/2019 8:17:49 PM,,0.0,0.0,0.000,0.00,1.00,0.00,132°,40°,-105°
SUM,12/5/2019 8:32:49 PM,,0.0,0.0,0.000,0.00,1.00,0.00,135°,40°,-105°
SUM,12/5/2019 8:47:49 PM,,0.0,0.0,0.000,0.00,1.00,0.00,138°,40°,-105°
SUM,12/5/2019 9:02:49 PM,,0.0,0.0,0.000,0.00,1.00,0.00,140°,40°,-105°
SUM,12/5/2019 9:17:49 PM,,0.0,0.0,0.000,0.00,1.00,0.00,143°,40°,-105°
SUM,12/5/2019 9:32:49 PM,,0.0,0.0,0.000,0.00,1.00,0.00,146°,40°,-105°
SUM,12/5/2019 9:47:49 PM,,0.0,0.0,0.000,0.00,1.00,0.00,148°,40°,-105°
SUM,12/5/2019 10:02:49 PM,,0.0,0.0,0.000,0.00,1.00,0.00,151°,40°,-105°
SUM,12/5/2019 10:17:49 PM,,0.0,0.0,0.000,0.00,1.00,0.00,153°,40°,-105°
SUM,12/5/2019 10:32:49 PM,,0.0,0.0,0.000,0.00,1.00,0.00,156°,40°,-105°
SUM,12/5/2019 10:47:49 PM,,0.0,0.0,0.000,0.00,1.00,0.00,158°,40°,-105°
SUM,12/5/2019 11:02:49 PM,,0.0,0.0,0.000,0.00,1.00,0.00,160°,40°,-105°
SUM,12/5/2019 11:17:49 PM,,0.0,0.0,0.000,0.00,1.00,0.00,161°,40°,-105°
SUM,12/5/2019 11:32:49 PM,,0.0,0.0,0.000,0.00,1.00,0.00,162°,40°,-105°
SUM,12/5/2019 11:47:49 PM,,0.0,0.0,0.000,0.00,1.00,0.00,162°,40°,-105°
SUM,12/6/2019 12:02:49 AM,,0.0,0.0,0.000,0.00,1.00,0.00,162°,40°,-105°
SUM,12/6/2019 12:17:49 AM,,0.0,0.0,0.000,0.00,1.00,0.00,162°,40°,-105°
SUM,12/6/2019 12:32:49 AM,,0.0,0.0,0.000,0.00,1.00,0.00,160°,40°,-105°
SUM,12/6/2019 12:47:49 AM,,0.0,0.0,0.000,0.00,1.00,0.00,159°,40°,-105°
SUM,12/6/2019 1:02:49 AM,,0.0,0.0,0.000,0.00,1.00,0.00,157°,40°,-105°
SUM,12/6/2019 1:17:49 AM,,0.0,0.0,0.000,0.00,1.00,0.00,155°,40°,-105°
SUM,12/6/2019 1:32:49 AM,,0.0,0.0,0.000,0.00,1.00,0.00,152°,40°,-105°
SUM,12/6/2019 1:47:49 AM,,0.0,0.0,0.000,0.00,1.00,0.00,150°,40°,-105°
SUM,12/6/2019 2:02:49 AM,,0.0,0.0,0.000,0.00,1.00,0.00,147°,40°,-105°
SUM,12/6/2019 2:17:49 AM,,0.0,0.0,0.000,0.00,1.00,0.00,144°,40°,-105°
SUM,12/6/2019 2:32:49 AM,,0.0,0.0,0.000,0.00,1.00,0.00,142°,40°,-105°
SUM,12/6/2019 2:47:49 AM,,0.0,0.0,0.000,0.00,1.00,0.00,139°,40°,-105°
SUM,12/6/2019 3:02:49 AM,,0.0,0.0,0.000,0.00,1.00,0.00,136°,40°,-105°
SUM,12/6/2019 3:17:49 AM,,0.0,0.1,0.000,0.00,1.00,0.00,133°,40°,-105°
SUM,12/6/2019 3:32:49 AM,,0.0,0.1,0.000,0.00,1.00,0.00,130°,40°,-105°
SUM,12/6/2019 3:47:49 AM,,0.0,0.1,0.000,0.00,1.00,0.00,127°,40°,-105°
SUM,12/6/2019 4:02:49 AM,,0.0,0.1,0.000,0.00,1.00,0.00,125°,40°,-105°
SUM,12/6/2019 4:17:49 AM,,0.0,0.1,0.000,0.00,1.00,0.00,122°,40°,-105°
