Record Type,Date and Time,Annotation,Average Above PAR,Average Below PAR,Tau [Τ],Leaf Area Index [LAI],Leaf Distribuition [Χ],Beam Fraction [Fb],Zenith Angle,Latitude,Longitude
SUM,11/19/2019 12:52:49 PM,,0.0,666.3,0.000,0.00,0.96,0.00,62°,40°,-104°
SUM,11/19/2019 1:07:48 PM,,0.0,228.5,0.000,0.00,0.96,0.00,63°,40°,-104°
SUM,11/19/2019 1:22:48 PM,,0.0,266.1,0.000,0.00,0.96,0.00,64°,40°,-104°
SUM,11/19/2019 1:37:48 PM,,0.0,461.5,0.000,0.00,0.96,0.00,65°,40°,-104°
SUM,11/19/2019 1:52:48 PM,,0.0,281.3,0.000,0.00,0.96,0.00,67°,40°,-104°
SUM,11/19/2019 2:07:48 PM,,0.0,369.6,0.000,0.00,0.96,0.00,68°,40°,-104°
SUM,11/19/2019 2:22:48 PM,,0.0,430.8,0.000,0.00,0.96,0.00,70°,40°,-104°
SUM,11/19/2019 2:37:48 PM,,0.0,150.4,0.000,0.00,0.96,0.00,72°,40°,-104°
SUM,11/19/2019 2:52:48 PM,,0.0,127.8,0.000,0.00,0.96,0.00,74°,40°,-104°
SUM,11/19/2019 3:07:48 PM,,0.0,103.7,0.000,0.00,0.96,0.00,76°,40°,-104°
SUM,11/19/2019 3:22:48 PM,,0.0,76.1,0.000,0.00,0.96,0.00,78°,40°,-104°
SUM,11/19/2019 3:37:48 PM,,0.0,107.4,0.000,0.00,0.96,0.00,81°,40°,-104°
SUM,11/19/2019 3:52:48 PM,,0.0,46.1,0.000,0.00,0.96,0.00,83°,40°,-104°
SUM,11/19/2019 4:07:48 PM,,0.0,23.3,0.000,0.00,0.96,0.00,86°,40°,-104°
SUM,11/19/2019 4:22:48 PM,,0.0,11.1,0.000,0.00,0.96,0.00,88°,40°,-104°
SUM,11/19/2019 4:37:48 PM,,0.0,2.8,0.000,0.00,0.96,0.00,91°,40°,-104°
SUM,11/19/2019 4:52:48 PM,,0.0,0.1,0.000,0.00,0.96,0.00,93°,40°,-104°
SUM,11/19/2019 5:07:48 PM,,0.0,0.1,0.000,0.00,0.96,0.00,96°,40°,-104°
SUM,11/19/2019 5:22:48 PM,,0.0,0.0,0.000,0.00,0.96,0.00,99°,40°,-104°
SUM,11/19/2019 5:37:48 PM,,0.0,0.0,0.000,0.00,0.96,0.00,101°,40°,-104°
SUM,11/19/2019 5:52:48 PM,,0.0,0.1,0.000,0.00,0.96,0.00,104°,40°,-104°
SUM,11/19/2019 6:07:48 PM,,0.0,0.0,0.000,0.00,0.96,0.00,107°,40°,-104°
SUM,11/19/2019 6:22:48 PM,,0.0,0.0,0.000,0.00,0.96,0.00,110°,40°,-104°
SUM,11/19/2019 6:37:48 PM,,0.0,0.1,0.000,0.00,0.96,0.00,113°,40°,-104°
SUM,11/19/2019 6:52:48 PM,,0.0,0.0,0.000,0.00,0.96,0.00,116°,40°,-104°
SUM,11/19/2019 7:07:48 PM,,0.0,0.0,0.000,0.00,0.96,0.00,118°,40°,-104°
SUM,11/19/2019 7:22:48 PM,,0.0,0.0,0.000,0.00,0.96,0.00,121°,40°,-104°
SUM,11/19/2019 7:37:48 PM,,0.0,0.0,0.000,0.00,0.96,0.00,124°,40°,-104°
SUM,11/19/2019 7:52:48 PM,,0.0,0.0,0.000,0.00,0.96,0.00,127°,40°,-104°
SUM,11/19/2019 8:07:48 PM,,0.0,0.0,0.000,0.00,0.96,0.00,130°,40°,-104°
SUM,11/19/2019 8:22:48 PM,,0.0,0.0,0.000,0.00,0.96,0.00,133°,40°,-104°
SUM,11/19/2019 8:37:48 PM,,0.0,0.0,0.000,0.00,0.96,0.00,136°,40°,-104°
SUM,11/19/2019 8:52:48 PM,,0.0,0.0,0.000,0.00,0.96,0.00,138°,40°,-104°
SUM,11/19/2019 9:07:48 PM,,0.0,0.1,0.000,0.00,0.96,0.00,141°,40°,-104°
SUM,11/19/2019 9:22:48 PM,,0.0,0.0,0.000,0.00,0.96,0.00,144°,40°,-104°
SUM,11/19/2019 9:37:48 PM,,0.0,0.0,0.000,0.00,0.96,0.00,146°,40°,-104°
SUM,11/19/2019 9:52:48 PM,,0.0,0.0,0.000,0.00,0.96,0.00,149°,40°,-104°
SUM,11/19/2019 10:07:48 PM,,0.0,0.0,0.000,0.00,0.96,0.00,151°,40°,-104°
SUM,11/19/2019 10:22:48 PM,,0.0,0.0,0.000,0.00,0.96,0.00,153°,40°,-104°
SUM,11/19/2019 10:37:48 PM,,0.0,0.0,0.000,0.00,0.96,0.00,155°,40°,-104°
SUM,11/19/2019 10:52:48 PM,,0.0,0.0,0.000,0.00,0.96,0.00,157°,40°,-104°
SUM,11/19/2019 11:07:48 PM,,0.0,0.0,0.000,0.00,0.96,0.00,158°,40°,-104°
SUM,11/19/2019 11:22:48 PM,,0.0,0.0,0.000,0.00,0.96,0.00,159°,40°,-104°
SUM,11/19/2019 11:37:48 PM,,0.0,0.0,0.000,0.00,0.96,0.00,159°,40°,-104°
SUM,11/19/2019 11:52:48 PM,,0.0,0.0,0.000,0.00,0.96,0.00,159°,40°,-104°
SUM,11/20/2019 12:07:48 AM,,0.0,0.0,0.000,0.00,0.96,0.00,159°,40°,-104°
SUM,11/20/2019 12:22:48 AM,,0.0,0.0,0.000,0.00,0.96,0.00,158°,40°,-104°
SUM,11/20/2019 12:37:48 AM,,0.0,0.0,0.000,0.00,0.96,0.00,156°,40°,-104°
SUM,11/20/2019 12:52:48 AM,,0.0,0.0,0.000,0.00,0.96,0.00,154°,40°,-104°
SUM,11/20/2019 1:07:48 AM,,0.0,0.0,0.000,0.00,0.96,0.00,152°,40°,-104°
SUM,11/20/2019 1:22:48 AM,,0.0,0.0,0.000,0.00,0.96,0.00,150°,40°,-104°
SUM,11/20/2019 1:37:48 AM,,0.0,0.0,0.000,0.00,0.96,0.00,148°,40°,-104°
SUM,11/20/2019 1:52:48 AM,,0.0,0.0,0.000,0.00,0.96,0.00,145°,40°,-104°
SUM,11/20/2019 2:07:48 AM,,0.0,0.0,0.000,0.00,0.96,0.00,143°,40°,-104°
SUM,11/20/2019 2:22:48 AM,,0.0,0.0,0.000,0.00,0.96,0.00,140°,40°,-104°
SUM,11/20/2019 2:37:48 AM,,0.0,0.0,0.000,0.00,0.96,0.00,137°,40°,-104°
SUM,11/20/2019 2:52:48 AM,,0.0,0.0,0.000,0.00,0.96,0.00,134°,40°,-104°
SUM,11/20/2019 3:07:48 AM,,0.0,0.0,0.000,0.00,0.96,0.00,132°,40°,-104°
SUM,11/20/2019 3:22:48 AM,,0.0,0.0,0.000,0.00,0.96,0.00,129°,40°,-104°
SUM,11/20/2019 3:37:48 AM,,0.0,0.1,0.000,0.00,0.96,0.00,126°,40°,-104°
SUM,11/20/2019 3:52:48 AM,,0.0,0.1,0.000,0.00,0.96,0.00,123°,40°,-104°
SUM,11/20/2019 4:07:48 AM,,0.0,0.1,0.000,0.00,0.96,0.00,120°,40°,-104°
SUM,11/20/2019 4:22:48 AM,,0.0,0.1,0.000,0.00,0.96,0.00,117°,40°,-104°
SUM,11/20/2019 4:37:48 AM,,0.0,0.0,0.000,0.00,0.96,0.00,114°,40°,-104°
SUM,11/20/2019 4:52:48 AM,,0.0,0.1,0.000,0.00,0.96,0.00,112°,40°,-104°
SUM,11/20/2019 5:07:48 AM,,0.0,0.1,0.000,0.00,0.96,0.00,109°,40°,-104°
SUM,11/20/2019 5:22:48 AM,,0.0,0.1,0.000,0.00,0.96,0.00,106°,40°,-104°
SUM,11/20/2019 5:37:48 AM,,0.0,0.0,0.000,0.00,0.96,0.00,103°,40°,-104°
SUM,11/20/2019 5:52:48 AM,,0.0,0.0,0.000,0.00,0.96,0.00,100°,40°,-104°
SUM,11/20/2019 6:07:48 AM,,0.0,0.0,0.000,0.00,0.96,0.00,98°,40°,-104°
SUM,11/20/2019 6:22:48 AM,,0.0,0.0,0.000,0.00,0.96,0.00,95°,40°,-104°
SUM,11/20/2019 6:37:48 AM,,0.0,0.9,0.000,0.00,0.96,0.00,92°,40°,-104°
SUM,11/20/2019 6:52:48 AM,,0.0,4.5,0.000,0.00,0.96,0.00,90°,40°,-104°
SUM,11/20/2019 7:07:48 AM,,0.0,17.3,0.000,0.00,0.96,0.00,87°,40°,-104°
SUM,11/20/2019 7:22:48 AM,,0.0,30.7,0.000,0.00,0.96,0.00,85°,40°,-104°
SUM,11/20/2019 7:37:48 AM,,0.0,38.4,0.000,0.00,0.96,0.00,82°,40°,-104°
SUM,11/20/2019 7:52:48 AM,,0.0,60.9,0.000,0.00,0.96,0.00,80°,40°,-104°
SUM,11/20/2019 8:07:48 AM,,0.0,105.6,0.000,0.00,0.96,0.00,78°,40°,-104°
SUM,11/20/2019 8:22:48 AM,,0.0,94.6,0.000,0.00,0.96,0.00,75°,40°,-104°
SUM,11/20/2019 8:37:48 AM,,0.0,161.7,0.000,0.00,0.96,0.00,73°,40°,-104°
SUM,11/20/2019 8:52:48 AM,,0.0,233.8,0.000,0.00,0.96,0.00,71°,40°,-104°
SUM,11/20/2019 9:07:48 AM,,0.0,225.2,0.000,0.00,0.96,0.00,69°,40°,-104°
SUM,11/20/2019 9:22:48 AM,,0.0,228.0,0.000,0.00,0.96,0.00,68°,40°,-104°
SUM,11/20/2019 9:37:48 AM,,0.0,303.9,0.000,0.00,0.96,0.00,66°,40°,-104°
SUM,11/20/2019 9:52:48 AM,,0.0,335.8,0.000,0.00,0.96,0.00,65°,40°,-104°
SUM,11/20/2019 10:07:48 AM,,0.0,353.0,0.000,0.00,0.96,0.00,63°,40°,-104°
SUM,11/20/2019 10:22:48 AM,,0.0,317.9,0.000,0.00,0.96,0.00,62°,40°,-104°
SUM,11/20/2019 10:37:48 AM,,0.0,272.5,0.000,0.00,0.96,0.00,61°,40°,-104°
SUM,11/20/2019 10:52:48 AM,,0.0,326.4,0.000,0.00,0.96,0.00,61°,40°,-104°
SUM,11/20/2019 11:07:48 AM,,0.0,542.5,0.000,0.00,0.96,0.00,60°,40°,-104°
SUM,11/20/2019 11:22:48 AM,,0.0,500.4,0.000,0.00,0.96,0.00,60°,40°,-104°
SUM,11/20/2019 11:37:48 AM,,0.0,417.3,0.000,0.00,0.96,0.00,59°,40°,-104°
SUM,11/20/2019 11:52:48 AM,,0.0,431.4,0.000,0.00,0.96,0.00,60°,40°,-104°
SUM,11/20/2019 12:07:48 PM,,0.0,229.7,0.000,0.00,0.96,0.00,60°,40°,-104°
SUM,11/20/2019 12:22:48 PM,,0.0,267.5,0.000,0.00,0.96,0.00,60°,40°,-104°
SUM,11/20/2019 12:37:48 PM,,0.0,280.0,0.000,0.00,0.96,0.00,61°,40°,-104°
SUM,11/20/2019 12:52:48 PM,,0.0,300.4,0.000,0.00,0.96,0.00,62°,40°,-104°
SUM,11/20/2019 1:07:48 PM,,0.0,277.0,0.000,0.00,0.96,0.00,63°,40°,-104°
SUM,11/20/2019 1:22:48 PM,,0.0,230.3,0.000,0.00,0.96,0.00,64°,40°,-104°
SUM,11/20/2019 1:37:48 PM,,0.0,188.5,0.000,0.00,0.96,0.00,65°,40°,-104°
SUM,11/20/2019 1:52:48 PM,,0.0,184.4,0.000,0.00,0.96,0.00,67°,40°,-104°
