Record Type,Date and Time,Annotation,Average Above PAR,Average Below PAR,Tau [Τ],Leaf Area Index [LAI],Leaf Distribuition [Χ],Beam Fraction [Fb],Zenith Angle,Latitude,Longitude
SUM,11/19/2019 12:43:34 PM,,0.0,258.8,0.000,0.00,1.00,0.00,61°,40°,-105°
SUM,11/19/2019 12:58:33 PM,,0.0,189.1,0.000,0.00,1.00,0.00,62°,40°,-105°
SUM,11/19/2019 1:13:33 PM,,0.0,272.1,0.000,0.00,1.00,0.00,63°,40°,-105°
SUM,11/19/2019 1:28:33 PM,,0.0,381.5,0.000,0.00,1.00,0.00,64°,40°,-105°
SUM,11/19/2019 1:43:33 PM,,0.0,447.3,0.000,0.00,1.00,0.00,65°,40°,-105°
SUM,11/19/2019 1:58:33 PM,,0.0,229.7,0.000,0.00,1.00,0.00,67°,40°,-105°
SUM,11/19/2019 2:13:33 PM,,0.0,321.0,0.000,0.00,1.00,0.00,69°,40°,-105°
SUM,11/19/2019 2:28:33 PM,,0.0,187.4,0.000,0.00,1.00,0.00,70°,40°,-105°
SUM,11/19/2019 2:43:33 PM,,0.0,120.9,0.000,0.00,1.00,0.00,72°,40°,-105°
SUM,11/19/2019 2:58:33 PM,,0.0,106.3,0.000,0.00,1.00,0.00,74°,40°,-105°
SUM,11/19/2019 3:13:33 PM,,0.0,75.9,0.000,0.00,1.00,0.00,76°,40°,-105°
SUM,11/19/2019 3:28:33 PM,,0.0,97.9,0.000,0.00,1.00,0.00,79°,40°,-105°
SUM,11/19/2019 3:43:33 PM,,0.0,67.5,0.000,0.00,1.00,0.00,81°,40°,-105°
SUM,11/19/2019 3:58:33 PM,,0.0,33.5,0.000,0.00,1.00,0.00,83°,40°,-105°
SUM,11/19/2019 4:13:33 PM,,0.0,16.0,0.000,0.00,1.00,0.00,86°,40°,-105°
SUM,11/19/2019 4:28:33 PM,,0.0,4.7,0.000,0.00,1.00,0.00,88°,40°,-105°
SUM,11/19/2019 4:43:33 PM,,0.0,0.6,0.000,0.00,1.00,0.00,91°,40°,-105°
SUM,11/19/2019 4:58:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,94°,40°,-105°
SUM,11/19/2019 5:13:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,96°,40°,-105°
SUM,11/19/2019 5:28:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,99°,40°,-105°
SUM,11/19/2019 5:43:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,102°,40°,-105°
SUM,11/19/2019 5:58:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,105°,40°,-105°
SUM,11/19/2019 6:13:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,107°,40°,-105°
SUM,11/19/2019 6:28:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,110°,40°,-105°
SUM,11/19/2019 6:43:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,113°,40°,-105°
SUM,11/19/2019 6:58:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,116°,40°,-105°
SUM,11/19/2019 7:13:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,119°,40°,-105°
SUM,11/19/2019 7:28:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,122°,40°,-105°
SUM,11/19/2019 7:43:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,125°,40°,-105°
SUM,11/19/2019 7:58:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,127°,40°,-105°
SUM,11/19/2019 8:13:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,130°,40°,-105°
SUM,11/19/2019 8:28:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,133°,40°,-105°
SUM,11/19/2019 8:43:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,136°,40°,-105°
SUM,11/19/2019 8:58:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,139°,40°,-105°
SUM,11/19/2019 9:13:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,141°,40°,-105°
SUM,11/19/2019 9:28:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,144°,40°,-105°
SUM,11/19/2019 9:43:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,147°,40°,-105°
SUM,11/19/2019 9:58:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,149°,40°,-105°
SUM,11/19/2019 10:13:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,151°,40°,-105°
SUM,11/19/2019 10:28:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,153°,40°,-105°
SUM,11/19/2019 10:43:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,155°,40°,-105°
SUM,11/19/2019 10:58:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,157°,40°,-105°
SUM,11/19/2019 11:13:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,158°,40°,-105°
SUM,11/19/2019 11:28:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,159°,40°,-105°
SUM,11/19/2019 11:43:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,159°,40°,-105°
SUM,11/19/2019 11:58:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,159°,40°,-105°
SUM,11/20/2019 12:13:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,159°,40°,-105°
SUM,11/20/2019 12:28:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,158°,40°,-105°
SUM,11/20/2019 12:43:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,156°,40°,-105°
SUM,11/20/2019 12:58:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,154°,40°,-105°
SUM,11/20/2019 1:13:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,152°,40°,-105°
SUM,11/20/2019 1:28:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,150°,40°,-105°
SUM,11/20/2019 1:43:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,148°,40°,-105°
SUM,11/20/2019 1:58:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,145°,40°,-105°
SUM,11/20/2019 2:13:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,142°,40°,-105°
SUM,11/20/2019 2:28:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,140°,40°,-105°
SUM,11/20/2019 2:43:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,137°,40°,-105°
SUM,11/20/2019 2:58:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,134°,40°,-105°
SUM,11/20/2019 3:13:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,131°,40°,-105°
SUM,11/20/2019 3:28:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,128°,40°,-105°
