Record Type,Date and Time,Annotation,Average Above PAR,Average Below PAR,Tau [Τ],Leaf Area Index [LAI],Leaf Distribuition [Χ],Beam Fraction [Fb],Zenith Angle,Latitude,Longitude
SUM,11/20/2019 3:43:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,126°,40°,-105°
SUM,11/20/2019 3:58:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,123°,40°,-105°
SUM,11/20/2019 4:13:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,120°,40°,-105°
SUM,11/20/2019 4:28:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,117°,40°,-105°
SUM,11/20/2019 4:43:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,114°,40°,-105°
SUM,11/20/2019 4:58:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,111°,40°,-105°
SUM,11/20/2019 5:13:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,108°,40°,-105°
SUM,11/20/2019 5:28:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,106°,40°,-105°
SUM,11/20/2019 5:43:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,103°,40°,-105°
SUM,11/20/2019 5:58:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,100°,40°,-105°
SUM,11/20/2019 6:13:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,97°,40°,-105°
SUM,11/20/2019 6:28:33 AM,,0.0,0.3,0.000,0.00,1.00,0.00,95°,40°,-105°
SUM,11/20/2019 6:43:33 AM,,0.0,2.6,0.000,0.00,1.00,0.00,92°,40°,-105°
SUM,11/20/2019 6:58:33 AM,,0.0,12.7,0.000,0.00,1.00,0.00,89°,40°,-105°
SUM,11/20/2019 7:13:33 AM,,0.0,30.3,0.000,0.00,1.00,0.00,87°,40°,-105°
SUM,11/20/2019 7:28:33 AM,,0.0,41.1,0.000,0.00,1.00,0.00,84°,40°,-105°
SUM,11/20/2019 7:43:33 AM,,0.0,54.0,0.000,0.00,1.00,0.00,82°,40°,-105°
SUM,11/20/2019 7:58:33 AM,,0.0,88.9,0.000,0.00,1.00,0.00,80°,40°,-105°
SUM,11/20/2019 8:13:33 AM,,0.0,144.6,0.000,0.00,1.00,0.00,77°,40°,-105°
SUM,11/20/2019 8:28:33 AM,,0.0,192.0,0.000,0.00,1.00,0.00,75°,40°,-105°
SUM,11/20/2019 8:43:33 AM,,0.0,218.1,0.000,0.00,1.00,0.00,73°,40°,-105°
SUM,11/20/2019 8:58:33 AM,,0.0,306.0,0.000,0.00,1.00,0.00,71°,40°,-105°
SUM,11/20/2019 9:13:33 AM,,0.0,243.0,0.000,0.00,1.00,0.00,69°,40°,-105°
SUM,11/20/2019 9:28:33 AM,,0.0,278.1,0.000,0.00,1.00,0.00,68°,40°,-105°
SUM,11/20/2019 9:43:33 AM,,0.0,420.3,0.000,0.00,1.00,0.00,66°,40°,-105°
SUM,11/20/2019 9:58:33 AM,,0.0,386.3,0.000,0.00,1.00,0.00,65°,40°,-105°
SUM,11/20/2019 10:13:33 AM,,0.0,330.0,0.000,0.00,1.00,0.00,63°,40°,-105°
SUM,11/20/2019 10:28:33 AM,,0.0,345.6,0.000,0.00,1.00,0.00,62°,40°,-105°
SUM,11/20/2019 10:43:33 AM,,0.0,287.5,0.000,0.00,1.00,0.00,61°,40°,-105°
SUM,11/20/2019 10:58:33 AM,,0.0,436.8,0.000,0.00,1.00,0.00,60°,40°,-105°
SUM,11/20/2019 11:13:33 AM,,0.0,514.3,0.000,0.00,1.00,0.00,60°,40°,-105°
SUM,11/20/2019 11:28:33 AM,,0.0,387.0,0.000,0.00,1.00,0.00,60°,40°,-105°
SUM,11/20/2019 11:43:33 AM,,0.0,422.1,0.000,0.00,1.00,0.00,59°,40°,-105°
SUM,11/20/2019 11:58:33 AM,,0.0,256.1,0.000,0.00,1.00,0.00,60°,40°,-105°
SUM,11/20/2019 12:13:33 PM,,0.0,260.2,0.000,0.00,1.00,0.00,60°,40°,-105°
SUM,11/20/2019 12:28:33 PM,,0.0,274.3,0.000,0.00,1.00,0.00,60°,40°,-105°
SUM,11/20/2019 12:43:33 PM,,0.0,285.1,0.000,0.00,1.00,0.00,61°,40°,-105°
SUM,11/20/2019 12:58:33 PM,,0.0,296.0,0.000,0.00,1.00,0.00,62°,40°,-105°
SUM,11/20/2019 1:13:33 PM,,0.0,261.3,0.000,0.00,1.00,0.00,63°,40°,-105°
SUM,11/20/2019 1:28:33 PM,,0.0,210.1,0.000,0.00,1.00,0.00,64°,40°,-105°
SUM,11/20/2019 1:43:33 PM,,0.0,200.1,0.000,0.00,1.00,0.00,65°,40°,-105°
SUM,11/20/2019 1:58:33 PM,,0.0,153.5,0.000,0.00,1.00,0.00,67°,40°,-105°
SUM,11/20/2019 2:13:33 PM,,0.0,128.2,0.000,0.00,1.00,0.00,69°,40°,-105°
SUM,11/20/2019 2:28:33 PM,,0.0,89.0,0.000,0.00,1.00,0.00,70°,40°,-105°
SUM,11/20/2019 2:43:33 PM,,0.0,68.4,0.000,0.00,1.00,0.00,72°,40°,-105°
SUM,11/20/2019 2:58:33 PM,,0.0,45.2,0.000,0.00,1.00,0.00,74°,40°,-105°
SUM,11/20/2019 3:13:33 PM,,0.0,31.0,0.000,0.00,1.00,0.00,77°,40°,-105°
SUM,11/20/2019 3:28:33 PM,,0.0,19.6,0.000,0.00,1.00,0.00,79°,40°,-105°
SUM,11/20/2019 3:43:33 PM,,0.0,11.0,0.000,0.00,1.00,0.00,81°,40°,-105°
SUM,11/20/2019 3:58:33 PM,,0.0,5.8,0.000,0.00,1.00,0.00,84°,40°,-105°
SUM,11/20/2019 4:13:33 PM,,0.0,2.4,0.000,0.00,1.00,0.00,86°,40°,-105°
SUM,11/20/2019 4:28:33 PM,,0.0,0.7,0.000,0.00,1.00,0.00,89°,40°,-105°
SUM,11/20/2019 4:43:33 PM,,0.0,0.2,0.000,0.00,1.00,0.00,91°,40°,-105°
SUM,11/20/2019 4:58:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,94°,40°,-105°
SUM,11/20/2019 5:13:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,96°,40°,-105°
SUM,11/20/2019 5:28:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,99°,40°,-105°
SUM,11/20/2019 5:43:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,102°,40°,-105°
SUM,11/20/2019 5:58:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,105°,40°,-105°
SUM,11/20/2019 6:13:33 PM,,0.0,0.2,0.000,0.00,1.00,0.00,107°,40°,-105°
SUM,11/20/2019 6:28:33 PM,,0.0,0.2,0.000,0.00,1.00,0.00,110°,40°,-105°
SUM,11/20/2019 6:43:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,113°,40°,-105°
SUM,11/20/2019 6:58:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,116°,40°,-105°
SUM,11/20/2019 7:13:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,119°,40°,-105°
SUM,11/20/2019 7:28:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,122°,40°,-105°
SUM,11/20/2019 7:43:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,125°,40°,-105°
SUM,11/20/2019 7:58:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,128°,40°,-105°
SUM,11/20/2019 8:13:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,130°,40°,-105°
SUM,11/20/2019 8:28:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,133°,40°,-105°
SUM,11/20/2019 8:43:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,136°,40°,-105°
SUM,11/20/2019 8:58:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,139°,40°,-105°
SUM,11/20/2019 9:13:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,141°,40°,-105°
SUM,11/20/2019 9:28:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,144°,40°,-105°
SUM,11/20/2019 9:43:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,147°,40°,-105°
SUM,11/20/2019 9:58:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,149°,40°,-105°
SUM,11/20/2019 10:13:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,151°,40°,-105°
SUM,11/20/2019 10:28:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,154°,40°,-105°
SUM,11/20/2019 10:43:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,155°,40°,-105°
SUM,11/20/2019 10:58:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,157°,40°,-105°
SUM,11/20/2019 11:13:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,158°,40°,-105°
SUM,11/20/2019 11:28:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,159°,40°,-105°
SUM,11/20/2019 11:43:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,159°,40°,-105°
SUM,11/20/2019 11:58:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,159°,40°,-105°
SUM,11/21/2019 12:13:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,159°,40°,-105°
SUM,11/21/2019 12:28:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,158°,40°,-105°
SUM,11/21/2019 12:43:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,156°,40°,-105°
SUM,11/21/2019 12:58:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,154°,40°,-105°
SUM,11/21/2019 1:13:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,152°,40°,-105°
SUM,11/21/2019 1:28:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,150°,40°,-105°
SUM,11/21/2019 1:43:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,148°,40°,-105°
SUM,11/21/2019 1:58:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,145°,40°,-105°
SUM,11/21/2019 2:13:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,143°,40°,-105°
SUM,11/21/2019 2:28:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,140°,40°,-105°
SUM,11/21/2019 2:43:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,137°,40°,-105°
SUM,11/21/2019 2:58:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,134°,40°,-105°
SUM,11/21/2019 3:13:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,132°,40°,-105°
SUM,11/21/2019 3:28:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,129°,40°,-105°
SUM,11/21/2019 3:43:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,126°,40°,-105°
SUM,11/21/2019 3:58:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,123°,40°,-105°
SUM,11/21/2019 4:13:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,120°,40°,-105°
SUM,11/21/2019 4:28:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,117°,40°,-105°
SUM,11/21/2019 4:43:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,114°,40°,-105°
SUM,11/21/2019 4:58:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,111°,40°,-105°
SUM,11/21/2019 5:13:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,109°,40°,-105°
SUM,11/21/2019 5:28:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,106°,40°,-105°
SUM,11/21/2019 5:43:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,103°,40°,-105°
SUM,11/21/2019 5:58:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,100°,40°,-105°
SUM,11/21/2019 6:13:33 AM,,0.0,0.1,0.000,0.00,1.00,0.00,98°,40°,-105°
SUM,11/21/2019 6:28:33 AM,,0.0,0.3,0.000,0.00,1.00,0.00,95°,40°,-105°
SUM,11/21/2019 6:43:33 AM,,0.0,2.6,0.000,0.00,1.00,0.00,92°,40°,-105°
SUM,11/21/2019 6:58:33 AM,,0.0,9.1,0.000,0.00,1.00,0.00,90°,40°,-105°
SUM,11/21/2019 7:13:33 AM,,0.0,20.9,0.000,0.00,1.00,0.00,87°,40°,-105°
SUM,11/21/2019 7:28:33 AM,,0.0,40.5,0.000,0.00,1.00,0.00,85°,40°,-105°
SUM,11/21/2019 7:43:33 AM,,0.0,63.6,0.000,0.00,1.00,0.00,82°,40°,-105°
SUM,11/21/2019 7:58:33 AM,,0.0,114.0,0.000,0.00,1.00,0.00,80°,40°,-105°
SUM,11/21/2019 8:13:33 AM,,0.0,119.0,0.000,0.00,1.00,0.00,78°,40°,-105°
SUM,11/21/2019 8:28:33 AM,,0.0,85.3,0.000,0.00,1.00,0.00,75°,40°,-105°
SUM,11/21/2019 8:43:33 AM,,0.0,83.1,0.000,0.00,1.00,0.00,73°,40°,-105°
SUM,11/21/2019 8:58:33 AM,,0.0,112.0,0.000,0.00,1.00,0.00,71°,40°,-105°
SUM,11/21/2019 9:13:33 AM,,0.0,112.6,0.000,0.00,1.00,0.00,70°,40°,-105°
SUM,11/21/2019 9:28:33 AM,,0.0,139.0,0.000,0.00,1.00,0.00,68°,40°,-105°
SUM,11/21/2019 9:43:33 AM,,0.0,189.6,0.000,0.00,1.00,0.00,66°,40°,-105°
SUM,11/21/2019 9:58:33 AM,,0.0,232.5,0.000,0.00,1.00,0.00,65°,40°,-105°
SUM,11/21/2019 10:13:33 AM,,0.0,224.4,0.000,0.00,1.00,0.00,63°,40°,-105°
SUM,11/21/2019 10:28:33 AM,,0.0,338.6,0.000,0.00,1.00,0.00,62°,40°,-105°
SUM,11/21/2019 10:43:33 AM,,0.0,224.7,0.000,0.00,1.00,0.00,61°,40°,-105°
SUM,11/21/2019 10:58:33 AM,,0.0,174.8,0.000,0.00,1.00,0.00,61°,40°,-105°
SUM,11/21/2019 11:13:33 AM,,0.0,178.8,0.000,0.00,1.00,0.00,60°,40°,-105°
SUM,11/21/2019 11:28:33 AM,,0.0,258.3,0.000,0.00,1.00,0.00,60°,40°,-105°
SUM,11/21/2019 11:43:33 AM,,0.0,325.0,0.000,0.00,1.00,0.00,60°,40°,-105°
SUM,11/21/2019 11:58:33 AM,,0.0,303.0,0.000,0.00,1.00,0.00,60°,40°,-105°
SUM,11/21/2019 12:13:33 PM,,0.0,166.4,0.000,0.00,1.00,0.00,60°,40°,-105°
SUM,11/21/2019 12:28:33 PM,,0.0,115.5,0.000,0.00,1.00,0.00,61°,40°,-105°
SUM,11/21/2019 12:43:33 PM,,0.0,115.5,0.000,0.00,1.00,0.00,61°,40°,-105°
SUM,11/21/2019 12:58:33 PM,,0.0,170.1,0.000,0.00,1.00,0.00,62°,40°,-105°
SUM,11/21/2019 1:13:33 PM,,0.0,204.0,0.000,0.00,1.00,0.00,63°,40°,-105°
SUM,11/21/2019 1:28:33 PM,,0.0,173.2,0.000,0.00,1.00,0.00,64°,40°,-105°
SUM,11/21/2019 1:43:33 PM,,0.0,137.6,0.000,0.00,1.00,0.00,66°,40°,-105°
SUM,11/21/2019 1:58:33 PM,,0.0,111.0,0.000,0.00,1.00,0.00,67°,40°,-105°
SUM,11/21/2019 2:13:33 PM,,0.0,53.7,0.000,0.00,1.00,0.00,69°,40°,-105°
SUM,11/21/2019 2:28:33 PM,,0.0,49.8,0.000,0.00,1.00,0.00,71°,40°,-105°
SUM,11/21/2019 2:43:33 PM,,0.0,94.1,0.000,0.00,1.00,0.00,73°,40°,-105°
SUM,11/21/2019 2:58:33 PM,,0.0,104.7,0.000,0.00,1.00,0.00,75°,40°,-105°
SUM,11/21/2019 3:13:33 PM,,0.0,106.2,0.000,0.00,1.00,0.00,77°,40°,-105°
SUM,11/21/2019 3:28:33 PM,,0.0,67.0,0.000,0.00,1.00,0.00,79°,40°,-105°
SUM,11/21/2019 3:43:33 PM,,0.0,46.4,0.000,0.00,1.00,0.00,81°,40°,-105°
SUM,11/21/2019 3:58:33 PM,,0.0,25.8,0.000,0.00,1.00,0.00,84°,40°,-105°
SUM,11/21/2019 4:13:33 PM,,0.0,11.3,0.000,0.00,1.00,0.00,86°,40°,-105°
SUM,11/21/2019 4:28:33 PM,,0.0,3.6,0.000,0.00,1.00,0.00,89°,40°,-105°
SUM,11/21/2019 4:43:33 PM,,0.0,0.4,0.000,0.00,1.00,0.00,91°,40°,-105°
SUM,11/21/2019 4:58:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,94°,40°,-105°
SUM,11/21/2019 5:13:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,97°,40°,-105°
SUM,11/21/2019 5:28:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,99°,40°,-105°
SUM,11/21/2019 5:43:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,102°,40°,-105°
SUM,11/21/2019 5:58:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,105°,40°,-105°
SUM,11/21/2019 6:13:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,108°,40°,-105°
SUM,11/21/2019 6:28:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,110°,40°,-105°
SUM,11/21/2019 6:43:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,113°,40°,-105°
SUM,11/21/2019 6:58:33 PM,,0.0,0.1,0.000,0.00,1.00,0.00,116°,40°,-105°
SUM,11/21/2019 7:13:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,119°,40°,-105°
SUM,11/21/2019 7:28:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,122°,40°,-105°
SUM,11/21/2019 7:43:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,125°,40°,-105°
SUM,11/21/2019 7:58:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,128°,40°,-105°
SUM,11/21/2019 8:13:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,130°,40°,-105°
SUM,11/21/2019 8:28:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,133°,40°,-105°
SUM,11/21/2019 8:43:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,136°,40°,-105°
SUM,11/21/2019 8:58:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,139°,40°,-105°
SUM,11/21/2019 9:13:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,142°,40°,-105°
SUM,11/21/2019 9:28:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,144°,40°,-105°
SUM,11/21/2019 9:43:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,147°,40°,-105°
SUM,11/21/2019 9:58:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,149°,40°,-105°
SUM,11/21/2019 10:13:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,152°,40°,-105°
SUM,11/21/2019 10:28:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,154°,40°,-105°
SUM,11/21/2019 10:43:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,156°,40°,-105°
SUM,11/21/2019 10:58:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,157°,40°,-105°
SUM,11/21/2019 11:13:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,159°,40°,-105°
SUM,11/21/2019 11:28:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,159°,40°,-105°
SUM,11/21/2019 11:43:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,160°,40°,-105°
SUM,11/21/2019 11:58:33 PM,,0.0,0.0,0.000,0.00,1.00,0.00,160°,40°,-105°
SUM,11/22/2019 12:13:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,159°,40°,-105°
SUM,11/22/2019 12:28:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,158°,40°,-105°
SUM,11/22/2019 12:43:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,157°,40°,-105°
SUM,11/22/2019 12:58:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,155°,40°,-105°
SUM,11/22/2019 1:13:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,153°,40°,-105°
SUM,11/22/2019 1:28:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,150°,40°,-105°
SUM,11/22/2019 1:43:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,148°,40°,-105°
SUM,11/22/2019 1:58:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,145°,40°,-105°
SUM,11/22/2019 2:13:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,143°,40°,-105°
SUM,11/22/2019 2:28:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,140°,40°,-105°
SUM,11/22/2019 2:43:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,137°,40°,-105°
SUM,11/22/2019 2:58:33 AM,,0.0,0.0,0.000,0.00,1.00,0.00,135°,40°,-105°
SUM,11/22/2019 3:13:33 AM,,0.0,0.2,0.000,0.00,1.00,0.00,132°,40°,-105°
