"volumetric_water_content","pressure_potential_kPa"
0.518,-1.10970468875832
0.519,-1.10362602916338
0.52,-1.09759411759634
0.521,-1.09160991289073
0.522,-1.0856743738801
0.523,-1.07978995060345
0.524,-1.07397033815042
0.525,-1.06821680786003
0.526,-1.0625270816436
0.527,-1.0568988814125
0.528,-1.05132992907805
0.529,-1.04581794655162
0.53,-1.04036065574454
0.531,-1.03495577856816
0.532,-1.02960103693383
0.533,-1.02429415275288
0.534,-1.01903284793667
0.535,-1.01381484439654
0.536,-1.00863786404384
0.537,-1.00349962878991
0.538,-0.998397860546092
0.539,-0.993330281223739
0.54,-0.988294612734194
0.541,-0.983288576988802
0.542,-0.978309895898908
0.543,-0.973356291375857
0.544,-0.968425485330995
0.545,-0.963515199675668
0.546,-0.958631230866268
0.547,-0.953805356647767
0.548,-0.949038362040694
0.549,-0.944327108708269
0.55,-0.93966845831371
0.551,-0.935059272520236
0.552,-0.930496412991066
0.553,-0.925976741389417
0.554,-0.92149711937851
0.555,-0.917054408621563
0.556,-0.912645470781793
0.557,-0.908267167522421
0.558,-0.903916360506665
0.559,-0.899589911397743
0.56,-0.895284681858874
0.561,-0.890997533553278
0.562,-0.886725328144172
0.563,-0.882464927294776
0.564,-0.878213192668307
0.565,-0.873966985927986
0.566,-0.86972316873703
0.567,-0.865511323004002
0.568,-0.861373042556323
0.569,-0.857300724076602
0.57,-0.853286352165368
0.571,-0.849321911423146
0.572,-0.845399386450465
0.573,-0.84151076184785
0.574,-0.83764802221583
0.575,-0.833803152154931
0.576,-0.829968136265679
0.577,-0.826134959148603
0.578,-0.822295605404229
0.579,-0.818442059633083
0.58,-0.814566306435693
0.581,-0.810660330412587
0.582,-0.80671611616429
0.583,-0.80272564829133
0.584,-0.798683712190979
0.585,-0.794600582310857
0.586,-0.790484247060981
0.587,-0.786341764638349
0.588,-0.78218019323996
0.589,-0.778006591062815
0.59,-0.773828016303913
0.591,-0.769651527160254
0.592,-0.765484181828836
0.593,-0.761333038506659
0.594,-0.757205155390724
0.595,-0.753107590678029
0.596,-0.749047402565574
0.597,-0.745031649250358
0.598,-0.741067388929381
0.599,-0.737161679799643
0.6,-0.733291486905706
0.601,-0.729425481763743
0.602,-0.725565633521665
0.603,-0.721713962228932
0.604,-0.717872487935007
0.605,-0.714043230689351
0.606,-0.710228210541426
0.607,-0.706429447540693
0.608,-0.702648961736613
0.609,-0.698888773178648
0.61,-0.69515090191626
0.611,-0.691437367998911
0.612,-0.68775019147606
0.613,-0.684091392397171
0.614,-0.680462990811705
0.615,-0.676867006769123
0.616,-0.673305460318887
0.617,-0.669780371510458
0.618,-0.666293760393298
0.619,-0.662847647016868
0.62,-0.65944405143063
0.621,-0.656084016868936
0.622,-0.652765582117536
0.623,-0.649486805847489
0.624,-0.646245765347413
0.625,-0.643040537905926
0.626,-0.639869200811647
0.627,-0.636729831353194
0.628,-0.633620506819184
0.629,-0.630539304498236
0.63,-0.627484301678968
0.631,-0.624453575649998
0.632,-0.621445203699944
0.633,-0.618457263117424
0.634,-0.615487831191056
0.635,-0.612534985209459
0.636,-0.609596802461251
0.637,-0.606671360235049
0.638,-0.603756735819471
0.639,-0.600851006503137
0.64,-0.597952249574663
0.641,-0.595058542322668
0.642,-0.592191713982883
0.643,-0.589408025926484
0.644,-0.586700968353099
0.645,-0.584060685845706
0.646,-0.581477322987283
0.647,-0.578941024360809
0.648,-0.576441934549261
0.649,-0.573970198135619
0.65,-0.57151595970286
0.651,-0.569069363833964
0.652,-0.566620555111909
0.653,-0.564159678119672
0.654,-0.561676877440234
0.655,-0.559162297656571
0.656,-0.556606083351663
0.657,-0.553998379108487
0.658,-0.551333159483225
0.659,-0.548680566414897
0.66,-0.546067056954969
0.661,-0.543488594136237
0.662,-0.540941140991499
0.663,-0.53842066055355
0.664,-0.535923115855187
0.665,-0.533444469929208
0.666,-0.530980685808408
0.667,-0.528527726525584
0.668,-0.526081555113534
0.669,-0.523638134605053
0.67,-0.521193428032938
0.671,-0.518743398429987
0.672,-0.516284008828995
0.673,-0.51381122226276
0.674,-0.511321001764077
0.675,-0.508809310365744
0.676,-0.506272111100557
0.677,-0.503705367001314
0.678,-0.50110504110081
0.679,-0.498467096431843
0.68,-0.495787496027208
0.681,-0.493062202919703
0.682,-0.490289164399153
0.683,-0.487534912603117
0.684,-0.484826511598359
0.685,-0.482154353345278
0.686,-0.479508829804272
0.687,-0.47688033293574
0.688,-0.474259254700078
0.689,-0.471635987057686
0.69,-0.469000921968961
0.691,-0.466344451394302
0.692,-0.463656967294106
0.693,-0.460928861628772
0.694,-0.458150526358698
0.695,-0.455312353444281
0.696,-0.452404734845921
0.697,-0.449418062524015
0.698,-0.446342728438961
0.699,-0.443169124551158
0.7,-0.439887642821002
0.701,-0.436488675208894
0.702,-0.43296261367523
0.703,-0.429299221125004
0.704,-0.42535783585017
0.705,-0.421080786744549
0.706,-0.416532043651757
0.707,-0.41177557641541
0.708,-0.406875354879124
0.709,-0.401895348886515
0.71,-0.396899528281199
0.711,-0.391951862906791
0.712,-0.387116322606907
0.713,-0.382456877225164
0.714,-0.378037496605177
0.715,-0.373922150590561
0.716,-0.370174809024933
0.717,-0.366859441751909
0.718,-0.364040018615105
0.719,-0.361780509458135
0.72,-0.358624480360292
0.721,-0.353438591111678
0.722,-0.34677145212212
0.723,-0.339171673801451
0.724,-0.331187866559498
0.725,-0.323368640806092
0.726,-0.316262606951062
0.727,-0.310418375404239
0.728,-0.301641060644752
0.729,-0.287255335130408
0.73,-0.272171936217018
0.731,-0.261289995032868
0.732,-0.250853161523606
0.733,-0.225530470094825
0.734,-0.172447463014656
