"by15","wind_speed_m_s","position","treatment","block"
2019-08-24 16:30:00,0.00635544404936932,"bottom","well_watered","W"
2019-08-24 16:45:00,0.00291413398868459,"bottom","well_watered","W"
2019-08-24 17:00:00,0.00330391469776966,"bottom","well_watered","W"
2019-08-24 17:15:00,0.00193155000439754,"bottom","well_watered","W"
2019-08-24 17:30:00,0.00155769322349024,"bottom","well_watered","W"
2019-08-24 17:45:00,0.00100917210740209,"bottom","well_watered","W"
2019-08-24 18:00:00,0.000635119808879499,"bottom","well_watered","W"
2019-08-24 18:15:00,0.00317728368939933,"bottom","well_watered","W"
2019-08-24 18:30:00,0.00610552044159388,"bottom","well_watered","W"
2019-08-24 18:45:00,0.00837982031098766,"bottom","well_watered","W"
2019-08-24 19:00:00,0.00805423862382571,"bottom","well_watered","W"
2019-08-24 19:15:00,0.0141469260152304,"bottom","well_watered","W"
2019-08-24 19:30:00,0.0109490345451606,"bottom","well_watered","W"
2019-08-24 19:45:00,0.000851747209071718,"bottom","well_watered","W"
2019-08-24 20:00:00,6.16906106609829e-05,"bottom","well_watered","W"
2019-08-24 20:15:00,0.000315394960313967,"bottom","well_watered","W"
2019-08-24 20:30:00,0.00133313111721807,"bottom","well_watered","W"
2019-08-24 20:45:00,0.00121030534301921,"bottom","well_watered","W"
2019-08-24 21:00:00,0.000400911520485649,"bottom","well_watered","W"
2019-08-24 21:15:00,0.000392752828797486,"bottom","well_watered","W"
2019-08-24 21:30:00,0.00203164612234821,"bottom","well_watered","W"
2019-08-24 21:45:00,0.00205389226999511,"bottom","well_watered","W"
2019-08-24 22:00:00,0.00381063221027082,"bottom","well_watered","W"
2019-08-24 22:15:00,0.00179154156705555,"bottom","well_watered","W"
2019-08-24 22:30:00,0.000977974637780618,"bottom","well_watered","W"
2019-08-24 22:45:00,0.00126998918677048,"bottom","well_watered","W"
2019-08-24 23:00:00,0.000101107292960263,"bottom","well_watered","W"
2019-08-24 23:15:00,0.00162986904837712,"bottom","well_watered","W"
2019-08-24 23:30:00,0.000908640749029328,"bottom","well_watered","W"
2019-08-24 23:45:00,0.0015050804286523,"bottom","well_watered","W"
2019-08-25 00:00:00,0.00297024599265947,"bottom","well_watered","W"
2019-08-25 00:15:00,0.00246343637740337,"bottom","well_watered","W"
2019-08-25 00:30:00,0.0015291937312613,"bottom","well_watered","W"
2019-08-25 00:45:00,0.00105897265451129,"bottom","well_watered","W"
2019-08-25 01:00:00,0.000451682872203879,"bottom","well_watered","W"
2019-08-25 01:15:00,0.000901268844276823,"bottom","well_watered","W"
2019-08-25 01:30:00,0.000168475298518373,"bottom","well_watered","W"
2019-08-25 01:45:00,0.0007488317666079,"bottom","well_watered","W"
2019-08-25 02:00:00,7.22783621842119e-05,"bottom","well_watered","W"
2019-08-25 02:15:00,5.14840409733725e-06,"bottom","well_watered","W"
2019-08-25 02:30:00,4.35269440755474e-06,"bottom","well_watered","W"
2019-08-25 02:45:00,2.7133717159967e-05,"bottom","well_watered","W"
2019-08-25 03:00:00,9.95315721673485e-06,"bottom","well_watered","W"
2019-08-25 03:15:00,2.79262186152894e-06,"bottom","well_watered","W"
2019-08-25 03:30:00,0,"bottom","well_watered","W"
2019-08-25 03:45:00,0,"bottom","well_watered","W"
2019-08-25 04:00:00,0,"bottom","well_watered","W"
2019-08-25 04:15:00,2.497069971211e-06,"bottom","well_watered","W"
2019-08-25 04:30:00,1.15202707389734e-05,"bottom","well_watered","W"
2019-08-25 04:45:00,2.27756337381632e-07,"bottom","well_watered","W"
2019-08-25 05:00:00,0,"bottom","well_watered","W"
2019-08-25 05:15:00,0,"bottom","well_watered","W"
2019-08-25 05:30:00,0,"bottom","well_watered","W"
2019-08-25 05:45:00,0,"bottom","well_watered","W"
2019-08-25 06:00:00,5.84710738633459e-06,"bottom","well_watered","W"
2019-08-25 06:15:00,0.000285047110132303,"bottom","well_watered","W"
2019-08-25 06:30:00,0.000528115403156668,"bottom","well_watered","W"
2019-08-25 06:45:00,0.00192691430878963,"bottom","well_watered","W"
2019-08-25 07:00:00,0.00508887326480438,"bottom","well_watered","W"
2019-08-25 07:15:00,0.0193235271006615,"bottom","well_watered","W"
2019-08-25 07:30:00,0.0178235351502144,"bottom","well_watered","W"
2019-08-25 07:45:00,0.00930649534385212,"bottom","well_watered","W"
2019-08-25 08:00:00,0.00446880198776328,"bottom","well_watered","W"
2019-08-25 08:15:00,0.0126621044539632,"bottom","well_watered","W"
2019-08-25 08:30:00,0.0156373057498139,"bottom","well_watered","W"
2019-08-25 08:45:00,0.0144716465902082,"bottom","well_watered","W"
2019-08-25 09:00:00,0.0434250390014534,"bottom","well_watered","W"
2019-08-25 09:15:00,0.0494600973958906,"bottom","well_watered","W"
2019-08-25 09:30:00,0.0417308975940855,"bottom","well_watered","W"
2019-08-25 09:45:00,0.0324544475317718,"bottom","well_watered","W"
2019-08-25 10:00:00,0.0395279745799079,"bottom","well_watered","W"
2019-08-25 10:15:00,0.0557483771312047,"bottom","well_watered","W"
2019-08-25 10:30:00,0.0380882460907491,"bottom","well_watered","W"
2019-08-25 10:45:00,0.0366439032063402,"bottom","well_watered","W"
2019-08-25 11:00:00,0.0337240910329642,"bottom","well_watered","W"
2019-08-25 11:15:00,0.0227943993210788,"bottom","well_watered","W"
2019-08-25 11:30:00,0.047440258310105,"bottom","well_watered","W"
